Event,Date,Result,WhiteElo,BlackElo,TimeControl
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,2255,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,0-1,,2170,
GER-chT U20a,1996.??.??,1/2-1/2,,2230,
GER-chT U20a,1996.??.??,0-1,,2310,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1/2-1/2,,2265,
GER-chT U20a,1996.??.??,1/2-1/2,,2310,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,2105,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,2255,,
GER-chT U20a,1996.??.??,1-0,2255,,
GER-chT U20a,1996.??.??,1-0,2255,,
GER-chT U20a,1996.??.??,0-1,2255,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,2255,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,2270,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,2105,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,0-1,,,
GER-chT U20a,1996.??.??,1/2-1/2,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
GER-chT U20a,1996.??.??,1-0,,,
