Event,Date,Result,WhiteElo,BlackElo,TimeControl
Goch op 09th,1998.10.15,0-1,1778,2195,
Goch op 09th,1998.10.15,1/2-1/2,2210,1793,
Goch op 09th,1998.10.15,1-0,2325,1837,
Goch op 09th,1998.10.15,1-0,2195,1787,
Goch op 09th,1998.10.15,1-0,2410,1843,
Goch op 09th,1998.10.15,0-1,1840,2370,
Goch op 09th,1998.10.15,0-1,1868,2470,
Goch op 09th,1998.10.15,1/2-1/2,2190,1762,
Goch op 09th,1998.10.15,1-0,2465,1855,
Goch op 09th,1998.10.15,1/2-1/2,1793,2205,
Goch op 09th,1998.10.15,1-0,2595,1906,
Goch op 09th,1998.10.16,0-1,1996,2195,
Goch op 09th,1998.10.16,1-0,2370,2051,
Goch op 09th,1998.10.16,1-0,2243,1987,
Goch op 09th,1998.10.16,1-0,2410,2059,
Goch op 09th,1998.10.16,1-0,2220,1980,
Goch op 09th,1998.10.16,1/2-1/2,1984,2165,
Goch op 09th,1998.10.16,1/2-1/2,1975,2145,
Goch op 09th,1998.10.16,1-0,2150,1972,
Goch op 09th,1998.10.16,1-0,2470,2070,
Goch op 09th,1998.10.16,1-0,2265,2010,
Goch op 09th,1998.10.16,1-0,2195,1974,
Goch op 09th,1998.10.16,0-1,2065,2410,
Goch op 09th,1998.10.16,1-0,1972,2120,
Goch op 09th,1998.10.16,0-1,2057,2325,
Goch op 09th,1998.10.16,0-1,2070,2465,
Goch op 09th,1998.10.16,0-1,2071,2595,
Goch op 09th,1998.10.16,1-0,1972,2110,
Goch op 09th,1998.10.16,1/2-1/2,1658,2115,
Goch op 09th,1998.10.16,1-0,2230,1936,
Goch op 09th,1998.10.16,1/2-1/2,2210,2075,
Goch op 09th,1998.10.16,1-0,2325,2085,
Goch op 09th,1998.10.16,0-1,2195,2470,
Goch op 09th,1998.10.16,1/2-1/2,2081,2205,
Goch op 09th,1998.10.16,0-1,2150,2410,
Goch op 09th,1998.10.16,1-0,2410,2105,
Goch op 09th,1998.10.16,1-0,2165,1975,
Goch op 09th,1998.10.16,1/2-1/2,2190,1984,
Goch op 09th,1998.10.16,1-0,2465,2195,
Goch op 09th,1998.10.16,0-1,1972,2265,
Goch op 09th,1998.10.16,1/2-1/2,2135,1919,
Goch op 09th,1998.10.16,1-0,2090,2370,
Goch op 09th,1998.10.16,1-0,2145,1955,
Goch op 09th,1998.10.16,1-0,2595,2220,
Goch op 09th,1998.10.16,0-1,1972,2243,
Goch op 09th,1998.10.17,1-0,2205,2059,
Goch op 09th,1998.10.17,0-1,1996,2190,
Goch op 09th,1998.10.17,0-1,2243,2465,
Goch op 09th,1998.10.17,1-0,2410,2325,
Goch op 09th,1998.10.17,1/2-1/2,2220,2070,
Goch op 09th,1998.10.17,1/2-1/2,1984,2150,
Goch op 09th,1998.10.17,0-1,2470,2410,
Goch op 09th,1998.10.17,0-1,2265,2595,
Goch op 09th,1998.10.17,0-1,2165,2090,
Goch op 09th,1998.10.17,1/2-1/2,2195,2051,
Goch op 09th,1998.10.17,0-1,2065,2210,
Goch op 09th,1998.10.17,0-1,2057,2195,
Goch op 09th,1998.10.17,0-1,1972,2120,
Goch op 09th,1998.10.17,1/2-1/2,2145,2230,
Goch op 09th,1998.10.17,1/2-1/2,2115,1972,
Goch op 09th,1998.10.17,1/2-1/2,2230,2105,
Goch op 09th,1998.10.17,1/2-1/2,1974,2115,
Goch op 09th,1998.10.17,1/2-1/2,2070,2205,
Goch op 09th,1998.10.17,0-1,2120,2265,
Goch op 09th,1998.10.17,0-1,2210,2071,
Goch op 09th,1998.10.17,1-0,2325,2145,
Goch op 09th,1998.10.17,1/2-1/2,2195,1943,
Goch op 09th,1998.10.17,1/2-1/2,2081,2243,
Goch op 09th,1998.10.17,1/2-1/2,2150,1980,
Goch op 09th,1998.10.17,1-0,2410,2092,
Goch op 09th,1998.10.17,0-1,2190,2470,
