Event,Date,Result,WhiteElo,BlackElo,TimeControl
Olympiad Women-28,1988.11.15,0-1,2005,2205,
Olympiad Women-28,1988.11.15,0-1,2005,2225,
Olympiad Women-28,1988.11.15,1/2-1/2,2180,2020,
Olympiad Women-28,1988.11.15,1-0,,,
Olympiad Women-28,1988.11.15,0-1,,,
Olympiad Women-28,1988.11.15,1-0,,,
Olympiad Women-28,1988.11.15,0-1,,,
Olympiad Women-28,1988.11.15,1-0,,2005,
Olympiad Women-28,1988.11.15,0-1,,,
Olympiad Women-28,1988.11.15,1-0,,,
Olympiad Women-28,1988.11.15,0-1,,2015,
Olympiad Women-28,1988.11.15,1-0,,,
Olympiad Women-28,1988.11.15,1-0,2535,2365,
Olympiad Women-28,1988.11.15,1-0,2340,2245,
Olympiad Women-28,1988.11.15,0-1,2270,2430,
Olympiad Women-28,1988.11.15,1-0,,2190,
Olympiad Women-28,1988.11.15,1/2-1/2,2335,2400,
Olympiad Women-28,1988.11.15,1-0,2245,2010,
Olympiad Women-28,1988.11.15,1-0,2005,2015,
Olympiad Women-28,1988.11.15,1-0,2025,2005,
Olympiad Women-28,1988.11.15,0-1,,2005,
Olympiad Women-28,1988.11.16,1-0,2220,2005,
Olympiad Women-28,1988.11.16,1/2-1/2,2005,2170,
Olympiad Women-28,1988.11.16,1-0,,,
Olympiad Women-28,1988.11.16,0-1,1915,,
Olympiad Women-28,1988.11.16,0-1,,2020,
Olympiad Women-28,1988.11.16,1-0,2070,2200,
Olympiad Women-28,1988.11.16,1/2-1/2,,,
Olympiad Women-28,1988.11.16,1-0,2030,2110,
Olympiad Women-28,1988.11.16,0-1,1835,2075,
Olympiad Women-28,1988.11.16,1-0,,,
Olympiad Women-28,1988.11.16,0-1,,,
Olympiad Women-28,1988.11.16,1-0,,2005,
Olympiad Women-28,1988.11.16,1-0,,,
Olympiad Women-28,1988.11.16,0-1,,,
Olympiad Women-28,1988.11.16,1-0,,,
Olympiad Women-28,1988.11.16,1-0,2250,2085,
Olympiad Women-28,1988.11.16,1/2-1/2,2060,2220,
Olympiad Women-28,1988.11.16,1-0,2020,,
Olympiad Women-28,1988.11.16,0-1,,2170,
Olympiad Women-28,1988.11.16,1-0,2235,,
Olympiad Women-28,1988.11.16,1-0,2350,2010,
Olympiad Women-28,1988.11.16,0-1,2345,,
Olympiad Women-28,1988.11.16,1-0,2490,2285,
Olympiad Women-28,1988.11.16,0-1,,2365,
Olympiad Women-28,1988.11.16,1-0,2085,,
Olympiad Women-28,1988.11.16,0-1,2120,,
Olympiad Women-28,1988.11.16,0-1,2015,2060,
Olympiad Women-28,1988.11.16,1-0,2060,2370,
Olympiad Women-28,1988.11.16,1-0,2225,2205,
Olympiad Women-28,1988.11.16,1/2-1/2,2200,2095,
Olympiad Women-28,1988.11.16,1-0,2235,,
Olympiad Women-28,1988.11.16,1/2-1/2,2105,2095,
Olympiad Women-28,1988.11.16,1/2-1/2,2040,,
Olympiad Women-28,1988.11.16,0-1,2005,2005,
Olympiad Women-28,1988.11.16,1-0,,,
Olympiad Women-28,1988.11.16,1-0,,1905,
Olympiad Women-28,1988.11.16,0-1,2300,2210,
Olympiad Women-28,1988.11.16,1/2-1/2,2305,2355,
