Event,Date,Result,WhiteElo,BlackElo,TimeControl
Wattens op 15th,2000.09.03,1-0,1763,1844,
Wattens op 15th,2000.09.03,0-1,1746,1579,
Wattens op 15th,2000.09.03,1/2-1/2,1827,1798,
Wattens op 15th,2000.09.03,1-0,1891,2144,
Wattens op 15th,2000.09.03,0-1,1743,1982,
Wattens op 15th,2000.09.03,1-0,2417,2028,
Wattens op 15th,2000.09.03,0-1,1645,1811,
Wiesbaden op 19th,2000.08.26,0-1,,2053,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,0-1,,,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,0-1,,2140,
Wiesbaden op 19th,2000.08.26,0-1,,2110,
Wiesbaden op 19th,2000.08.26,1/2-1/2,2038,,
Wiesbaden op 19th,2000.08.26,1-0,2112,,
Wiesbaden op 19th,2000.08.26,1-0,2172,,
Wiesbaden op 19th,2000.08.26,1-0,2218,,
Wiesbaden op 19th,2000.08.26,0-1,2058,,
Wiesbaden op 19th,2000.08.26,0-1,,2235,
Wiesbaden op 19th,2000.08.26,1/2-1/2,2144,,
Wiesbaden op 19th,2000.08.26,0-1,,,
Wiesbaden op 19th,2000.08.26,1-0,2533,,
Wiesbaden op 19th,2000.08.26,0-1,,2543,
Wiesbaden op 19th,2000.08.26,0-1,,2273,
Wiesbaden op 19th,2000.08.26,1-0,2548,,
Wiesbaden op 19th,2000.08.26,0-1,,2300,
Wiesbaden op 19th,2000.08.26,0-1,,2185,
Wiesbaden op 19th,2000.08.26,1-0,,2177,
Wiesbaden op 19th,2000.08.26,1-0,2255,,
Wiesbaden op 19th,2000.08.26,0-1,,2061,
Wiesbaden op 19th,2000.08.26,1-0,2108,,
Wiesbaden op 19th,2000.08.26,0-1,,2019,
Wiesbaden op 19th,2000.08.26,1-0,,2208,
Wiesbaden op 19th,2000.08.26,0-1,,,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,0-1,,2398,
Wiesbaden op 19th,2000.08.26,0-1,,,
Wiesbaden op 19th,2000.08.26,1-0,2197,,
Wiesbaden op 19th,2000.08.26,1-0,,2070,
Wiesbaden op 19th,2000.08.26,0-1,,2220,
Wiesbaden op 19th,2000.08.26,1-0,2179,,
Wiesbaden op 19th,2000.08.26,0-1,,2002,
Wiesbaden op 19th,2000.08.26,0-1,,2493,
Wiesbaden op 19th,2000.08.26,0-1,,,
Wiesbaden op 19th,2000.08.26,1-0,2280,,
Wiesbaden op 19th,2000.08.26,1-0,2126,,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,1-0,,,
Wiesbaden op 19th,2000.08.26,0-1,,2080,
Wiesbaden op 19th,2000.08.26,1-0,2084,,
Wiesbaden op 19th,2000.08.26,1/2-1/2,,,
Wiesbaden op 19th,2000.08.26,1-0,,2160,
Wiesbaden op 19th,2000.08.26,0-1,,2156,
Wiesbaden op 19th,2000.08.26,0-1,,,
Wiesbaden op 19th,2000.08.26,1-0,2230,,
Wiesbaden op 19th,2000.08.26,1-0,2064,,
Wiesbaden op 19th,2000.08.26,0-1,,2120,
Wiesbaden op 19th,2000.08.26,1-0,2478,,
Wiesbaden op 19th,2000.08.26,1-0,2373,,
Wiesbaden op 19th,2000.08.27,1-0,2273,,
Wiesbaden op 19th,2000.08.27,0-1,,2144,
Wiesbaden op 19th,2000.08.27,1-0,,,
Wiesbaden op 19th,2000.08.27,1/2-1/2,,2179,
Wiesbaden op 19th,2000.08.27,1-0,2185,,
Wiesbaden op 19th,2000.08.27,1/2-1/2,,,
Wiesbaden op 19th,2000.08.27,1-0,2543,2108,
Wiesbaden op 19th,2000.08.27,1-0,,,
Wiesbaden op 19th,2000.08.27,1-0,2220,,
Wiesbaden op 19th,2000.08.27,0-1,,2220,
Wiesbaden op 19th,2000.08.27,0-1,,2126,
Wiesbaden op 19th,2000.08.27,1-0,2208,,
Wiesbaden op 19th,2000.08.27,1-0,,,
Wiesbaden op 19th,2000.08.27,1-0,,,
Wiesbaden op 19th,2000.08.27,1-0,2156,,
Wiesbaden op 19th,2000.08.27,1/2-1/2,,,
Wiesbaden op 19th,2000.08.27,0-1,,,
Wiesbaden op 19th,2000.08.27,0-1,,,
Wiesbaden op 19th,2000.08.27,0-1,2235,,
Wiesbaden op 19th,2000.08.27,1-0,2110,,
Wiesbaden op 19th,2000.08.27,0-1,,2112,
Wiesbaden op 19th,2000.08.27,0-1,,,
Wiesbaden op 19th,2000.08.27,1-0,,2218,
Wiesbaden op 19th,2000.08.27,0-1,2053,2478,
