Event,Date,Result,WhiteElo,BlackElo,TimeControl
Valladolid CC theme Sicilian Gambit,1996.08.02,0-1,,,
Valladolid CC theme Sicilian Gambit,1996.08.02,1-0,,,
Valladolid CC theme Sicilian Gambit,1996.08.02,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,1655,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,1655,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,1655,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,1655,,
Bayern-ch (Women) 67th,1996.??.??,0-1,1655,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,1655,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,1655,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,1655,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,1655,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,1-0,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,0-1,,,
Bayern-ch (Women) 67th,1996.??.??,1/2-1/2,,,
Bayern-chA 67th,1996.??.??,1/2-1/2,2260,2365,
Bayern-chA 67th,1996.??.??,1/2-1/2,2260,2340,
Bayern-chA 67th,1996.??.??,1/2-1/2,2260,2175,
Bayern-chA 67th,1996.??.??,1-0,2260,2325,
Bayern-chA 67th,1996.??.??,1/2-1/2,2300,2235,
