Event,Date,Result,WhiteElo,BlackElo,TimeControl
Mollerussa op-B,1997.??.??,1-0,1845,1850,
Mollerussa op-B,1997.??.??,1-0,1830,1975,
Mollerussa op-B,1997.??.??,1/2-1/2,1865,1985,
Mollerussa op-B,1997.??.??,1-0,1870,1975,
Mollerussa op-B,1997.??.??,1-0,1850,1900,
Mollerussa op-B,1997.??.??,1-0,1985,1970,
Mollerussa op-B,1997.??.??,1-0,1915,1915,
Mollerussa op-B,1997.??.??,0-1,1895,1870,
Mollerussa op-B,1997.??.??,1/2-1/2,1905,1810,
Mollerussa op-B,1997.??.??,1-0,1990,1955,
Mollerussa op-B,1997.??.??,0-1,1860,1880,
Mollerussa op-B,1997.??.??,1-0,1860,1915,
Mollerussa op-B,1997.??.??,0-1,1885,1935,
Mollerussa op-B,1997.??.??,1/2-1/2,1975,1865,
Mollerussa op-B,1997.??.??,1-0,1965,1835,
Mollerussa op-B,1997.??.??,1/2-1/2,1865,1875,
Momotov Memorial,1997.??.??,1/2-1/2,2475,2500,
Momotov Memorial,1997.??.??,1-0,2475,2430,
Momotov Memorial,1997.??.??,0-1,2475,2485,
Momotov Memorial,1997.??.??,1-0,2475,2535,
Momotov Memorial,1997.??.??,1-0,2475,2575,
Momotov Memorial,1997.??.??,1/2-1/2,2475,2565,
Momotov Memorial,1997.??.??,0-1,2530,2475,
Momotov Memorial,1997.??.??,1-0,2530,2390,
Momotov Memorial,1997.??.??,1/2-1/2,2530,2485,
Momotov Memorial,1997.??.??,1/2-1/2,2530,2515,
Momotov Memorial,1997.??.??,1/2-1/2,2530,2575,
Momotov Memorial,1997.??.??,1/2-1/2,2530,2510,
Momotov Memorial,1997.??.??,1/2-1/2,2500,2530,
Momotov Memorial,1997.??.??,1-0,2500,2430,
Momotov Memorial,1997.??.??,1-0,2500,2390,
Momotov Memorial,1997.??.??,1/2-1/2,2500,2535,
Momotov Memorial,1997.??.??,1/2-1/2,2500,2515,
Momotov Memorial,1997.??.??,1/2-1/2,2500,2565,
Momotov Memorial,1997.??.??,1/2-1/2,2500,2510,
Momotov Memorial,1997.??.??,1/2-1/2,2495,2475,
Momotov Memorial,1997.??.??,1/2-1/2,2495,2530,
Momotov Memorial,1997.??.??,1/2-1/2,2495,2500,
Momotov Memorial,1997.??.??,1-0,2495,2485,
Momotov Memorial,1997.??.??,0-1,2495,2535,
Momotov Memorial,1997.??.??,1/2-1/2,2495,2575,
Momotov Memorial,1997.??.??,1/2-1/2,2495,2565,
Momotov Memorial,1997.??.??,1/2-1/2,2430,2530,
Momotov Memorial,1997.??.??,1/2-1/2,2430,2495,
Momotov Memorial,1997.??.??,1/2-1/2,2430,2485,
Momotov Memorial,1997.??.??,0-1,2430,2390,
Momotov Memorial,1997.??.??,1-0,2430,2520,
Momotov Memorial,1997.??.??,1/2-1/2,2430,2515,
Momotov Memorial,1997.??.??,1-0,2430,2510,
Momotov Memorial,1997.??.??,0-1,2485,2475,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2530,
Momotov Memorial,1997.??.??,1-0,2485,2500,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2495,
Momotov Memorial,1997.??.??,1-0,2485,2485,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2520,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2575,
Momotov Memorial,1997.??.??,1/2-1/2,2390,2475,
Momotov Memorial,1997.??.??,1-0,2390,2495,
Momotov Memorial,1997.??.??,1-0,2390,2485,
Momotov Memorial,1997.??.??,1/2-1/2,2390,2485,
Momotov Memorial,1997.??.??,1/2-1/2,2390,2520,
Momotov Memorial,1997.??.??,0-1,2390,2510,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2500,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2430,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2535,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2515,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2575,
Momotov Memorial,1997.??.??,1/2-1/2,2485,2565,
Momotov Memorial,1997.??.??,1/2-1/2,2520,2475,
Momotov Memorial,1997.??.??,1/2-1/2,2520,2530,
Momotov Memorial,1997.??.??,1/2-1/2,2520,2500,
Momotov Memorial,1997.??.??,1-0,2520,2495,
Momotov Memorial,1997.??.??,1/2-1/2,2520,2485,
Momotov Memorial,1997.??.??,0-1,2520,2535,
Momotov Memorial,1997.??.??,1/2-1/2,2520,2575,
Momotov Memorial,1997.??.??,1-0,2535,2530,
Momotov Memorial,1997.??.??,0-1,2535,2430,
Momotov Memorial,1997.??.??,1/2-1/2,2535,2485,
Momotov Memorial,1997.??.??,1/2-1/2,2535,2390,
Momotov Memorial,1997.??.??,1/2-1/2,2535,2515,
Momotov Memorial,1997.??.??,1/2-1/2,2535,2565,
Momotov Memorial,1997.??.??,1/2-1/2,2535,2510,
Momotov Memorial,1997.??.??,1/2-1/2,2515,2475,
Momotov Memorial,1997.??.??,1-0,2515,2495,
Momotov Memorial,1997.??.??,1-0,2515,2485,
Momotov Memorial,1997.??.??,1-0,2515,2390,
Momotov Memorial,1997.??.??,1-0,2515,2520,
Momotov Memorial,1997.??.??,1/2-1/2,2515,2510,
Momotov Memorial,1997.??.??,1-0,2575,2500,
Momotov Memorial,1997.??.??,1-0,2575,2430,
Momotov Memorial,1997.??.??,1-0,2575,2390,
Momotov Memorial,1997.??.??,1-0,2575,2535,
Momotov Memorial,1997.??.??,1/2-1/2,2575,2515,
Momotov Memorial,1997.??.??,1-0,2575,2565,
Momotov Memorial,1997.??.??,1-0,2565,2530,
Momotov Memorial,1997.??.??,1/2-1/2,2565,2430,
Momotov Memorial,1997.??.??,1-0,2565,2485,
Momotov Memorial,1997.??.??,1-0,2565,2390,
Momotov Memorial,1997.??.??,1/2-1/2,2565,2520,
Momotov Memorial,1997.??.??,1/2-1/2,2565,2515,
Momotov Memorial,1997.??.??,1/2-1/2,2565,2510,
Momotov Memorial,1997.??.??,1/2-1/2,2510,2475,
Momotov Memorial,1997.??.??,1-0,2510,2495,
Momotov Memorial,1997.??.??,1/2-1/2,2510,2485,
Momotov Memorial,1997.??.??,1/2-1/2,2510,2485,
Momotov Memorial,1997.??.??,0-1,2510,2520,
Momotov Memorial,1997.??.??,1/2-1/2,2510,2575,
Mondariz op,1997.??.??,0-1,,,
Mondariz op,1997.??.??,0-1,,2325,
Mondariz op,1997.??.??,1-0,,,
Mondariz op,1997.??.??,0-1,,,
Mondariz op,1997.??.??,0-1,2470,2440,
Mondariz op,1997.??.??,1-0,2470,2440,
Mondariz op,1997.??.??,1-0,2470,2215,
Mondariz op,1997.??.??,1/2-1/2,2470,2415,
Mondariz op,1997.??.??,1-0,,,
Mondariz op,1997.??.??,1-0,,,
Mondariz op,1997.??.??,0-1,,2215,
Mondariz op,1997.??.??,0-1,,2200,
Mondariz op,1997.??.??,1-0,2275,2380,
Mondariz op,1997.??.??,0-1,2275,2490,
Mondariz op,1997.??.??,1/2-1/2,2275,2285,
Mondariz op,1997.??.??,1-0,2275,,
Mondariz op,1997.??.??,0-1,,2440,
Mondariz op,1997.??.??,0-1,,,
Mondariz op,1997.??.??,1/2-1/2,,,
Mondariz op,1997.??.??,1-0,,,
Mondariz op,1997.??.??,1-0,,,
Mondariz op,1997.??.??,0-1,2380,2440,
Mondariz op,1997.??.??,0-1,2380,2485,
Mondariz op,1997.??.??,1-0,2380,,
Mondariz op,1997.??.??,1-0,2380,2160,
Mondariz op,1997.??.??,1/2-1/2,2380,2560,
Mondariz op,1997.??.??,0-1,2005,2275,
Mondariz op,1997.??.??,0-1,2005,2220,
Mondariz op,1997.??.??,0-1,2005,2565,
Mondariz op,1997.??.??,1-0,2005,2265,
Mondariz op,1997.??.??,1-0,2005,,
Mondariz op,1997.??.??,1/2-1/2,,,
Mondariz op,1997.??.??,0-1,,2440,
Mondariz op,1997.??.??,0-1,,,
Mondariz op,1997.??.??,0-1,,,
Mondariz op,1997.??.??,1-0,2440,2470,
Mondariz op,1997.??.??,1-0,2440,2490,
