Event,Date,Result,WhiteElo,BlackElo,TimeControl
Guarapuava op,1992.07.??,1/2-1/2,2495,2555,
Guarapuava op,1992.07.??,1/2-1/2,2380,2530,
Guarapuava op,1992.07.??,1-0,2350,2285,
Guarapuava op,1992.07.??,1-0,2250,,
Haarlem AKN op 01st,1992.??.??,1-0,,2520,
Haarlem AKN op 01st,1992.??.??,0-1,,2540,
Haarlem AKN op 01st,1992.??.??,1-0,,,
Haarlem AKN op 01st,1992.??.??,0-1,,2410,
Haarlem AKN op 01st,1992.??.??,0-1,,2220,
Haarlem AKN op 01st,1992.??.??,1-0,,,
Haarlem AKN op 01st,1992.??.??,1-0,2335,,
Haarlem AKN op 01st,1992.??.??,0-1,,2240,
Haarlem AKN op 01st,1992.??.??,1-0,,2205,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,2440,
Haarlem AKN op 01st,1992.??.??,0-1,,,
Haarlem AKN op 01st,1992.??.??,0-1,,,
Haarlem AKN op 01st,1992.??.??,1-0,2510,,
Haarlem AKN op 01st,1992.??.??,0-1,,2455,
Haarlem AKN op 01st,1992.??.??,1-0,2530,,
Haarlem AKN op 01st,1992.??.??,1-0,,,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,2455,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,2410,
Haarlem AKN op 01st,1992.??.??,0-1,,2520,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,2540,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,,
Haarlem AKN op 01st,1992.??.??,1-0,,,
Haarlem AKN op 01st,1992.??.??,0-1,2285,2535,
Haarlem AKN op 01st,1992.??.??,0-1,,,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,2280,
Haarlem AKN op 01st,1992.??.??,1-0,2520,,
Haarlem AKN op 01st,1992.??.??,0-1,,,
Haarlem AKN op 01st,1992.??.??,0-1,,,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,,
Haarlem AKN op 01st,1992.??.??,1-0,2540,,
Haarlem AKN op 01st,1992.??.??,1-0,,2455,
Haarlem AKN op 01st,1992.??.??,0-1,,2220,
Haarlem AKN op 01st,1992.??.??,0-1,2455,2455,
Haarlem AKN op 01st,1992.??.??,1-0,2285,,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,,
Haarlem AKN op 01st,1992.??.??,1/2-1/2,,,
Haarlem AKN op 01st,1992.??.??,1-0,,,
Haarlem AKN op 01st,1992.??.??,0-1,,,
Hyeres op,1992.??.??,1/2-1/2,2395,2285,
Hyeres op,1992.??.??,1/2-1/2,2395,2225,
Hyeres op,1992.??.??,1-0,2395,2240,
Hyeres op,1992.??.??,1-0,2395,2460,
Hyeres op,1992.??.??,1/2-1/2,2395,2240,
Hyeres op,1992.??.??,0-1,2240,2395,
Hyeres op,1992.??.??,1-0,2240,,
Hyeres op,1992.??.??,1/2-1/2,2240,,
Hyeres op,1992.??.??,0-1,2240,2385,
Hyeres op,1992.??.??,1/2-1/2,2415,2285,
Hyeres op,1992.??.??,0-1,2415,2255,
Hyeres op,1992.??.??,1-0,2415,2265,
Hyeres op,1992.??.??,1-0,2415,2205,
Hyeres op,1992.??.??,1-0,2415,2240,
Hyeres op,1992.??.??,1-0,2285,2225,
Hyeres op,1992.??.??,1/2-1/2,2285,2460,
Hyeres op,1992.??.??,1/2-1/2,2285,2390,
Hyeres op,1992.??.??,1/2-1/2,2285,2460,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,0-1,,2225,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,0-1,,2240,
Hyeres op,1992.??.??,1-0,,2140,
Hyeres op,1992.??.??,0-1,,2225,
Hyeres op,1992.??.??,0-1,,2300,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,0-1,2140,2240,
Hyeres op,1992.??.??,0-1,2140,2225,
Hyeres op,1992.??.??,0-1,2140,,
Hyeres op,1992.??.??,1/2-1/2,2140,2225,
Hyeres op,1992.??.??,0-1,2255,2450,
Hyeres op,1992.??.??,1/2-1/2,2255,2300,
Hyeres op,1992.??.??,1/2-1/2,2255,2350,
Hyeres op,1992.??.??,0-1,2255,2525,
Hyeres op,1992.??.??,0-1,,2265,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,0-1,,2375,
Hyeres op,1992.??.??,1/2-1/2,,2390,
Hyeres op,1992.??.??,1-0,2405,,
Hyeres op,1992.??.??,0-1,2405,2295,
Hyeres op,1992.??.??,1/2-1/2,2405,2520,
Hyeres op,1992.??.??,0-1,2265,2255,
Hyeres op,1992.??.??,1-0,2265,2270,
Hyeres op,1992.??.??,0-1,2265,2240,
Hyeres op,1992.??.??,1-0,2265,,
Hyeres op,1992.??.??,1-0,2205,2230,
Hyeres op,1992.??.??,1/2-1/2,2205,,
Hyeres op,1992.??.??,1-0,2205,,
Hyeres op,1992.??.??,0-1,2205,2415,
Hyeres op,1992.??.??,0-1,,2395,
Hyeres op,1992.??.??,1-0,,2235,
Hyeres op,1992.??.??,1/2-1/2,,2270,
Hyeres op,1992.??.??,1/2-1/2,,2225,
Hyeres op,1992.??.??,0-1,,2465,
Hyeres op,1992.??.??,1-0,2235,,
Hyeres op,1992.??.??,0-1,2235,2505,
Hyeres op,1992.??.??,1/2-1/2,2235,2520,
Hyeres op,1992.??.??,1-0,2235,2240,
Hyeres op,1992.??.??,1-0,2235,,
Hyeres op,1992.??.??,1/2-1/2,2060,2270,
Hyeres op,1992.??.??,1-0,2060,,
Hyeres op,1992.??.??,0-1,2060,2245,
Hyeres op,1992.??.??,1/2-1/2,2225,2415,
Hyeres op,1992.??.??,1/2-1/2,2225,2255,
Hyeres op,1992.??.??,1-0,2225,2310,
Hyeres op,1992.??.??,0-1,2225,2520,
Hyeres op,1992.??.??,1/2-1/2,2510,2365,
Hyeres op,1992.??.??,1-0,2510,2450,
Hyeres op,1992.??.??,1-0,2510,2240,
Hyeres op,1992.??.??,1/2-1/2,2510,2540,
Hyeres op,1992.??.??,1-0,2510,2525,
Hyeres op,1992.??.??,0-1,2270,2255,
Hyeres op,1992.??.??,1/2-1/2,2270,,
Hyeres op,1992.??.??,1-0,2270,2205,
Hyeres op,1992.??.??,1/2-1/2,2270,2225,
Hyeres op,1992.??.??,1/2-1/2,2205,,
Hyeres op,1992.??.??,1-0,2205,2060,
Hyeres op,1992.??.??,0-1,2205,2225,
Hyeres op,1992.??.??,1-0,2205,,
Hyeres op,1992.??.??,1/2-1/2,2205,,
Hyeres op,1992.??.??,1/2-1/2,2505,2395,
Hyeres op,1992.??.??,1-0,2505,2365,
Hyeres op,1992.??.??,1/2-1/2,2505,2460,
Hyeres op,1992.??.??,1/2-1/2,2505,2490,
Hyeres op,1992.??.??,1-0,2365,,
Hyeres op,1992.??.??,1-0,2365,2205,
Hyeres op,1992.??.??,1-0,2365,2295,
Hyeres op,1992.??.??,1-0,2365,2245,
Hyeres op,1992.??.??,1/2-1/2,2365,2490,
Hyeres op,1992.??.??,1-0,2450,2295,
Hyeres op,1992.??.??,0-1,2450,2375,
Hyeres op,1992.??.??,1/2-1/2,2450,2490,
Hyeres op,1992.??.??,1/2-1/2,2450,2240,
Hyeres op,1992.??.??,0-1,2310,,
Hyeres op,1992.??.??,1-0,2310,2230,
Hyeres op,1992.??.??,1-0,2310,,
Hyeres op,1992.??.??,1/2-1/2,2230,,
Hyeres op,1992.??.??,1-0,2230,,
Hyeres op,1992.??.??,1-0,,2235,
Hyeres op,1992.??.??,1-0,,2225,
Hyeres op,1992.??.??,1-0,,2225,
Hyeres op,1992.??.??,0-1,,2300,
Hyeres op,1992.??.??,1-0,,2350,
Hyeres op,1992.??.??,0-1,,2285,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,1-0,,2265,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,0-1,,2405,
Hyeres op,1992.??.??,1-0,,2245,
Hyeres op,1992.??.??,1-0,,,
Hyeres op,1992.??.??,1-0,,,
Hyeres op,1992.??.??,1-0,2295,2240,
Hyeres op,1992.??.??,0-1,2295,2430,
Hyeres op,1992.??.??,1-0,2295,,
Hyeres op,1992.??.??,1-0,2295,,
Hyeres op,1992.??.??,0-1,2295,2525,
Hyeres op,1992.??.??,1-0,2460,2405,
Hyeres op,1992.??.??,1/2-1/2,2460,2505,
Hyeres op,1992.??.??,1-0,2460,2450,
Hyeres op,1992.??.??,1/2-1/2,2460,2230,
Hyeres op,1992.??.??,1/2-1/2,2460,2540,
Hyeres op,1992.??.??,1/2-1/2,2515,2510,
Hyeres op,1992.??.??,1-0,2515,2365,
Hyeres op,1992.??.??,1/2-1/2,2515,2460,
Hyeres op,1992.??.??,1/2-1/2,2515,2390,
Hyeres op,1992.??.??,0-1,2515,2385,
Hyeres op,1992.??.??,1/2-1/2,2245,,
Hyeres op,1992.??.??,1-0,2245,,
Hyeres op,1992.??.??,0-1,2245,2180,
Hyeres op,1992.??.??,1-0,2520,2240,
Hyeres op,1992.??.??,1-0,2520,2205,
Hyeres op,1992.??.??,0-1,2520,2365,
Hyeres op,1992.??.??,1/2-1/2,2520,2430,
Hyeres op,1992.??.??,1-0,2240,,
Hyeres op,1992.??.??,1-0,2240,2265,
Hyeres op,1992.??.??,1-0,2240,2060,
Hyeres op,1992.??.??,1-0,2240,2225,
Hyeres op,1992.??.??,1-0,2430,,
Hyeres op,1992.??.??,1/2-1/2,2430,2460,
Hyeres op,1992.??.??,1/2-1/2,2430,2385,
Hyeres op,1992.??.??,0-1,2430,2350,
Hyeres op,1992.??.??,0-1,2375,2510,
Hyeres op,1992.??.??,1-0,2375,2505,
Hyeres op,1992.??.??,0-1,2375,2515,
Hyeres op,1992.??.??,1-0,2375,2520,
Hyeres op,1992.??.??,0-1,2375,2415,
Hyeres op,1992.??.??,1-0,2390,2415,
Hyeres op,1992.??.??,1/2-1/2,2390,2505,
Hyeres op,1992.??.??,1/2-1/2,2390,2430,
Hyeres op,1992.??.??,1-0,2390,,
Hyeres op,1992.??.??,1/2-1/2,2390,2525,
Hyeres op,1992.??.??,1-0,2225,,
Hyeres op,1992.??.??,0-1,2225,2515,
Hyeres op,1992.??.??,1-0,2225,2245,
Hyeres op,1992.??.??,1-0,2225,,
Hyeres op,1992.??.??,1/2-1/2,2385,2285,
Hyeres op,1992.??.??,1-0,2385,,
Hyeres op,1992.??.??,1/2-1/2,2385,2505,
Hyeres op,1992.??.??,1/2-1/2,2385,2415,
Hyeres op,1992.??.??,1-0,2385,2300,
Hyeres op,1992.??.??,1/2-1/2,,2265,
Hyeres op,1992.??.??,1-0,,2235,
Hyeres op,1992.??.??,0-1,,2430,
Hyeres op,1992.??.??,0-1,,2465,
Hyeres op,1992.??.??,0-1,,2350,
Hyeres op,1992.??.??,1-0,,,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,0-1,,2180,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,1-0,2460,2060,
Hyeres op,1992.??.??,1-0,2460,2205,
Hyeres op,1992.??.??,1-0,2460,2430,
Hyeres op,1992.??.??,1/2-1/2,2460,2390,
Hyeres op,1992.??.??,1/2-1/2,2490,2510,
Hyeres op,1992.??.??,1-0,2490,2205,
Hyeres op,1992.??.??,1/2-1/2,2490,2415,
Hyeres op,1992.??.??,1-0,2490,2525,
Hyeres op,1992.??.??,0-1,2240,2240,
Hyeres op,1992.??.??,1-0,2240,2140,
Hyeres op,1992.??.??,1/2-1/2,2240,2405,
Hyeres op,1992.??.??,1-0,2240,,
Hyeres op,1992.??.??,1-0,2240,,
Hyeres op,1992.??.??,0-1,,2205,
Hyeres op,1992.??.??,1-0,,,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,0-1,2180,2405,
Hyeres op,1992.??.??,0-1,2180,2205,
Hyeres op,1992.??.??,0-1,2180,2450,
Hyeres op,1992.??.??,0-1,2180,2415,
Hyeres op,1992.??.??,0-1,2180,2465,
Hyeres op,1992.??.??,1/2-1/2,2225,2450,
Hyeres op,1992.??.??,0-1,2225,2515,
Hyeres op,1992.??.??,0-1,2225,2180,
Hyeres op,1992.??.??,0-1,2225,2465,
Hyeres op,1992.??.??,1-0,2225,,
Hyeres op,1992.??.??,1/2-1/2,2415,2510,
Hyeres op,1992.??.??,1-0,2415,2310,
Hyeres op,1992.??.??,1-0,2415,2460,
Hyeres op,1992.??.??,0-1,2415,2540,
Hyeres op,1992.??.??,0-1,2465,2405,
Hyeres op,1992.??.??,1-0,2465,2310,
Hyeres op,1992.??.??,0-1,2465,2295,
Hyeres op,1992.??.??,0-1,2465,2375,
Hyeres op,1992.??.??,0-1,,2205,
Hyeres op,1992.??.??,0-1,,2235,
Hyeres op,1992.??.??,0-1,,2460,
Hyeres op,1992.??.??,0-1,,2375,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,1-0,,2180,
Hyeres op,1992.??.??,0-1,,,
Hyeres op,1992.??.??,1-0,2300,2240,
Hyeres op,1992.??.??,1/2-1/2,2300,,
Hyeres op,1992.??.??,1/2-1/2,2300,2460,
Hyeres op,1992.??.??,0-1,2300,2490,
Hyeres op,1992.??.??,0-1,,2140,
Hyeres op,1992.??.??,1-0,,2060,
Hyeres op,1992.??.??,0-1,,2270,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,1-0,2540,2270,
Hyeres op,1992.??.??,1/2-1/2,2540,2515,
Hyeres op,1992.??.??,1-0,2540,2490,
Hyeres op,1992.??.??,1-0,2540,2465,
Hyeres op,1992.??.??,1-0,2540,2350,
Hyeres op,1992.??.??,1-0,2350,2415,
Hyeres op,1992.??.??,1/2-1/2,2350,2225,
Hyeres op,1992.??.??,1-0,2350,,
Hyeres op,1992.??.??,1-0,2350,,
Hyeres op,1992.??.??,1-0,2525,2395,
Hyeres op,1992.??.??,1-0,2525,2415,
Hyeres op,1992.??.??,1-0,2525,2385,
Hyeres op,1992.??.??,0-1,2525,2540,
Hyeres op,1992.??.??,1-0,,,
Hyeres op,1992.??.??,0-1,,2060,
Hyeres op,1992.??.??,1/2-1/2,,,
Hyeres op,1992.??.??,0-1,,2225,
Kuopio op,1992.??.??,0-1,,2385,
Kuopio op,1992.??.??,1-0,2415,,
Kuopio op,1992.??.??,1-0,2345,,
Kuopio op,1992.??.??,1-0,2340,,
Kuopio op,1992.??.??,0-1,,2405,
Kuopio op,1992.??.??,1/2-1/2,,2340,
Kuopio op,1992.??.??,0-1,,2290,
Kuopio op,1992.??.??,1/2-1/2,,2355,
Kuopio op,1992.??.??,1-0,2360,,
Kuopio op,1992.??.??,0-1,,2530,
Kuopio op,1992.??.??,0-1,,2390,
Kuopio op,1992.??.??,0-1,,2365,
Kuopio op,1992.??.??,0-1,,2415,
Kuopio op,1992.??.??,0-1,,2415,
Kuopio op,1992.??.??,1-0,2545,,
Kuopio op,1992.??.??,0-1,,,
Kuopio op,1992.??.??,0-1,,2635,
Kuopio op,1992.??.??,1-0,,,
Kuopio op,1992.??.??,1-0,2540,,
Kuopio op,1992.??.??,1-0,2430,,
Kuopio op,1992.??.??,1-0,2410,,
Kuopio op,1992.??.??,1-0,2585,,
