Event,Date,Result,WhiteElo,BlackElo,TimeControl
Vantaa We EtVaS,1993.??.??,1/2-1/2,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1/2-1/2,2300,2360,
Vantaa We EtVaS,1993.??.??,1/2-1/2,2300,,
Vantaa We EtVaS,1993.??.??,1-0,2300,,
Vantaa We EtVaS,1993.??.??,1-0,2365,,
Vantaa We EtVaS,1993.??.??,1-0,2365,2340,
Vantaa We EtVaS,1993.??.??,1/2-1/2,,,
Vantaa We EtVaS,1993.??.??,0-1,,2300,
Vantaa We EtVaS,1993.??.??,0-1,,2250,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,1-0,,2365,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,2200,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,1-0,2360,2340,
Vantaa We EtVaS,1993.??.??,1/2-1/2,2360,2390,
Vantaa We EtVaS,1993.??.??,1/2-1/2,,,
Vantaa We EtVaS,1993.??.??,1/2-1/2,,2280,
Vantaa We EtVaS,1993.??.??,1-0,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
Vantaa We EtVaS,1993.??.??,0-1,,,
