Event,Date,Result,WhiteElo,BlackElo,TimeControl
Sao Paulo zt,1995.??.??,1/2-1/2,2465,2440,
Sao Paulo zt,1995.??.??,1/2-1/2,2335,2335,
Sao Paulo zt,1995.??.??,1-0,2620,2560,
Sao Paulo zt,1995.??.??,1-0,2310,2370,
Sao Paulo zt,1995.??.??,1-0,2370,2345,
Sao Paulo zt,1995.??.??,1/2-1/2,,2505,
Sao Paulo zt,1995.??.??,1/2-1/2,2440,2525,
Sao Paulo zt,1995.??.??,1-0,2465,2575,
Sao Paulo zt,1995.??.??,1-0,2370,2345,
Sao Paulo zt,1995.??.??,0-1,2310,2620,
Sao Paulo zt,1995.??.??,1-0,2575,,
Sao Paulo zt,1995.??.??,1-0,2560,2465,
Sao Paulo zt,1995.??.??,0-1,2335,2370,
Sao Paulo zt,1995.??.??,1/2-1/2,2525,2505,
Sao Paulo zt,1995.??.??,1/2-1/2,2440,2335,
Sao Paulo zt,1995.??.??,1-0,2345,2335,
Sao Paulo zt,1995.??.??,1-0,2370,2440,
Sao Paulo zt,1995.??.??,0-1,2620,2575,
Sao Paulo zt,1995.??.??,1/2-1/2,2505,2465,
Sao Paulo zt,1995.??.??,1/2-1/2,2370,2560,
Sao Paulo zt,1995.??.??,0-1,,2525,
Sao Paulo zt,1995.??.??,1/2-1/2,2335,2310,
Sao Paulo zt,1995.??.??,0-1,2335,,
Sao Paulo zt,1995.??.??,0-1,2310,2345,
Sao Paulo zt,1995.??.??,0-1,2575,2370,
Sao Paulo zt,1995.??.??,1/2-1/2,2560,2505,
Sao Paulo zt,1995.??.??,0-1,2525,2620,
Sao Paulo zt,1995.??.??,1-0,2440,2335,
Sao Paulo zt,1995.??.??,0-1,2465,2370,
Sao Paulo zt,1995.??.??,1-0,2345,2465,
Sao Paulo zt,1995.??.??,1-0,2620,2370,
Sao Paulo zt,1995.??.??,1/2-1/2,2310,2440,
Sao Paulo zt,1995.??.??,1-0,2505,2335,
Sao Paulo zt,1995.??.??,1-0,2560,2370,
Sao Paulo zt,1995.??.??,1/2-1/2,,2335,
Sao Paulo zt,1995.??.??,1-0,2525,2575,
Sao Paulo zt,1995.??.??,0-1,2335,2370,
Sao Paulo zt,1995.??.??,1/2-1/2,2370,2505,
Sao Paulo zt,1995.??.??,1-0,2575,2345,
Sao Paulo zt,1995.??.??,1/2-1/2,2560,2525,
Sao Paulo zt,1995.??.??,0-1,,2310,
Sao Paulo zt,1995.??.??,1/2-1/2,2335,2465,
Sao Paulo zt,1995.??.??,1/2-1/2,2440,2620,
Struga zt,1995.??.??,1/2-1/2,2595,2500,
Struga zt,1995.??.??,1-0,2595,2440,
Struga zt,1995.??.??,1-0,2595,2570,
Struga zt,1995.??.??,1-0,2595,2425,
Struga zt,1995.??.??,1-0,2595,2500,
Struga zt,1995.??.??,1/2-1/2,2620,2595,
Struga zt,1995.??.??,1-0,2620,2415,
Struga zt,1995.??.??,1-0,2620,2425,
Struga zt,1995.??.??,1/2-1/2,2500,2620,
Struga zt,1995.??.??,1/2-1/2,2500,2415,
Struga zt,1995.??.??,1/2-1/2,2500,2440,
Struga zt,1995.??.??,1/2-1/2,2500,2630,
Struga zt,1995.??.??,1-0,2500,2545,
Struga zt,1995.??.??,1/2-1/2,2415,2595,
Struga zt,1995.??.??,0-1,2415,2595,
Struga zt,1995.??.??,0-1,2415,2570,
Struga zt,1995.??.??,1/2-1/2,2415,2425,
Struga zt,1995.??.??,0-1,2415,2500,
Struga zt,1995.??.??,1/2-1/2,2595,2595,
Struga zt,1995.??.??,1/2-1/2,2595,2500,
Struga zt,1995.??.??,1/2-1/2,2595,2570,
Struga zt,1995.??.??,0-1,2595,2425,
Struga zt,1995.??.??,1-0,2595,2500,
Struga zt,1995.??.??,0-1,2440,2620,
Struga zt,1995.??.??,1/2-1/2,2440,2415,
Struga zt,1995.??.??,1/2-1/2,2440,2595,
Struga zt,1995.??.??,0-1,2440,2630,
Struga zt,1995.??.??,1/2-1/2,2440,2545,
Struga zt,1995.??.??,1/2-1/2,2570,2620,
Struga zt,1995.??.??,0-1,2570,2500,
Struga zt,1995.??.??,1/2-1/2,2570,2440,
