Event,Date,Result,WhiteElo,BlackElo,TimeControl
Balkaniad-14 U20,1982.09.07,0-1,,2260,
Balkaniad-14 U20,1982.09.07,1/2-1/2,2315,2325,
Balkaniad-14 U20,1982.09.07,0-1,2320,2215,
Balkaniad-14 U20,1982.09.07,0-1,,2325,
Balkaniad-14 U20,1982.09.07,1/2-1/2,,,
Balkaniad-14 U20,1982.09.08,1-0,2380,2315,
Balkaniad-14 U20,1982.09.08,0-1,2215,,
Balkaniad-14 U20,1982.09.08,0-1,,,
Balkaniad-14 U20,1982.09.08,1/2-1/2,,,
Balkaniad-14 U20,1982.09.08,1-0,2325,,
Balkaniad-14 U20,1982.09.08,1-0,,2320,
Balkaniad-14 U20,1982.09.08,0-1,2325,2270,
Balkaniad-14 U20,1982.09.08,1/2-1/2,2260,,
Balkaniad-14 U20,1982.09.09,1-0,,2380,
Balkaniad-14 U20,1982.09.09,1/2-1/2,,,
Balkaniad-14 U20,1982.09.09,1/2-1/2,2270,,
Balkaniad-14 U20,1982.09.09,1-0,,2260,
Balkaniad-14 U20,1982.09.09,1/2-1/2,,2325,
Balkaniad-14 U20,1982.09.09,1-0,2320,,
Balkaniad-14 U20,1982.09.09,0-1,,2325,
Balkaniad-14 U20,1982.09.09,1-0,,,
Interzonal Woman-05b,1982.??.??,1-0,,,
Interzonal Woman-05b,1982.??.??,1-0,,2135,
Interzonal Woman-05b,1982.??.??,1-0,2195,,
Interzonal Woman-05b,1982.??.??,1-0,2195,,
Interzonal Woman-05b,1982.??.??,0-1,2145,,
Interzonal Woman-05b,1982.??.??,1-0,2145,,
Interzonal Woman-05b,1982.??.??,1/2-1/2,2005,,
Interzonal Woman-05b,1982.??.??,1-0,2230,,
Interzonal Woman-05b,1982.??.??,0-1,2230,2195,
Interzonal Woman-05b,1982.??.??,1-0,2230,2030,
Interzonal Woman-05b,1982.??.??,1/2-1/2,2230,2020,
Interzonal Woman-05b,1982.??.??,1/2-1/2,2230,,
Interzonal Woman-05b,1982.??.??,1-0,2030,2255,
Interzonal Woman-05b,1982.??.??,1-0,2240,,
Interzonal Woman-05b,1982.??.??,1-0,2240,2030,
Interzonal Woman-05b,1982.??.??,1/2-1/2,2240,,
Interzonal Woman-05b,1982.??.??,1-0,,2195,
Interzonal Woman-05b,1982.??.??,1/2-1/2,,2145,
Interzonal Woman-05b,1982.??.??,1/2-1/2,,2240,
Interzonal Woman-05b,1982.??.??,1-0,,,
Interzonal Woman-05b,1982.??.??,1-0,2020,,
Interzonal Woman-05b,1982.??.??,1/2-1/2,2020,2255,
Interzonal Woman-05b,1982.??.??,1-0,,,
Interzonal Woman-05b,1982.??.??,1-0,,,
Interzonal Woman-05b,1982.??.??,1-0,,2135,
Interzonal Woman-05b,1982.??.??,1-0,,2030,
Interzonal Woman-05b,1982.??.??,1/2-1/2,,,
Interzonal Woman-05b,1982.??.??,0-1,2255,2240,
Interzonal Woman-05b,1982.??.??,0-1,2160,,
Interzonal Woman-05b,1982.??.??,1-0,2160,2195,
Interzonal Woman-05b,1982.??.??,1-0,2160,2230,
Interzonal Woman-05b,1982.??.??,1-0,2160,,
Interzonal Woman-05b,1982.??.??,1-0,,2145,
Interzonal Woman-05b,1982.??.??,1/2-1/2,,,
Interzonal Woman-05b,1982.??.??,0-1,,2160,
Manchester Benedictine op 5th,1982.??.??,0-1,2235,2390,
Manchester Benedictine op 5th,1982.??.??,1-0,2410,,
Manchester Benedictine op 5th,1982.??.??,1-0,,,
Manchester Benedictine op 5th,1982.??.??,1-0,,2400,
Manchester Benedictine op 5th,1982.??.??,1-0,2360,2285,
Manchester Benedictine op 5th,1982.??.??,1/2-1/2,,2410,
Manchester Benedictine op 5th,1982.??.??,0-1,2355,2465,
Manchester Benedictine op 5th,1982.??.??,1-0,2250,,
Manchester Benedictine op 5th,1982.??.??,0-1,,2575,
Manchester Benedictine op 5th,1982.??.??,1-0,2430,2315,
Manchester Benedictine op 5th,1982.??.??,0-1,2295,,
Manchester Benedictine op 5th,1982.??.??,0-1,,,
Manchester Benedictine op 5th,1982.??.??,1-0,2395,,
Manchester Benedictine op 5th,1982.??.??,1/2-1/2,2390,2205,
Manchester Benedictine op 5th,1982.??.??,1-0,,,
Manchester Benedictine op 5th,1982.??.??,0-1,2320,2410,
Manchester Benedictine op 5th,1982.??.??,1/2-1/2,2360,2440,
Manchester Benedictine op 5th,1982.??.??,1-0,2465,2250,
Manchester Benedictine op 5th,1982.??.??,0-1,,2355,
Manchester Benedictine op 5th,1982.??.??,1-0,,2430,
Manchester Benedictine op 5th,1982.??.??,1-0,2575,2235,
Manchester Benedictine op 5th,1982.??.??,1-0,,,
Manchester Benedictine op 5th,1982.??.??,0-1,,2365,
Manchester Benedictine op 5th,1982.??.??,0-1,2410,2240,
Manchester Benedictine op 5th,1982.??.??,1-0,,,
Manchester Benedictine op 5th,1982.??.??,1-0,2375,,
Manchester Benedictine op 5th,1982.??.??,1-0,2255,2295,
Manchester Benedictine op 5th,1982.??.??,1/2-1/2,2410,2395,
Manchester Benedictine op 5th,1982.??.??,1-0,,,
Manchester Benedictine op 5th,1982.??.??,0-1,2390,,
Manchester Benedictine op 5th,1982.??.??,1/2-1/2,,2575,
Manchester Benedictine op 5th,1982.??.??,0-1,2240,2240,
Manchester Benedictine op 5th,1982.??.??,0-1,2365,,
Manchester Benedictine op 5th,1982.??.??,0-1,2440,2285,
Manchester Benedictine op 5th,1982.??.??,1-0,2465,,
Manchester Benedictine op 5th,1982.??.??,0-1,2355,,
Manchester Benedictine op 5th,1982.??.??,0-1,,,
Manchester Benedictine op 5th,1982.??.??,1-0,2315,2390,
Manchester Benedictine op 5th,1982.??.??,0-1,2205,2360,
Manchester Benedictine op 5th,1982.??.??,1-0,2430,2320,
Manchester Benedictine op 5th,1982.??.??,1-0,2440,,
Manchester Benedictine op 5th,1982.??.??,0-1,2285,2465,
Manchester Benedictine op 5th,1982.??.??,0-1,,2440,
Manchester Benedictine op 5th,1982.??.??,0-1,2325,2205,
Manchester Benedictine op 5th,1982.??.??,1-0,,2200,
Manchester Benedictine op 5th,1982.??.??,1-0,2575,2315,
Manchester Benedictine op 5th,1982.??.??,1/2-1/2,2255,,
Manchester Benedictine op 5th,1982.??.??,0-1,2240,2410,
Manchester Benedictine op 5th,1982.??.??,0-1,2400,2350,
Manchester Benedictine op 5th,1982.??.??,1-0,2395,2235,
Manchester Benedictine op 5th,1982.??.??,1-0,,,
