Event,Date,Result,WhiteElo,BlackElo,TimeControl
NRW-ch,1971.10.05,1/2-1/2,,,
NRW-ch,1971.10.05,1/2-1/2,,,
NRW-ch,1971.10.06,1/2-1/2,,,
NRW-ch,1971.10.06,1/2-1/2,,,
NRW-ch,1971.10.06,1-0,,,
NRW-ch,1971.10.06,1-0,,,
NRW-ch,1971.10.06,1/2-1/2,,,
NRW-ch,1971.10.06,1/2-1/2,,,
NRW-ch,1971.10.06,1/2-1/2,,,
NRW-ch,1971.10.07,1/2-1/2,,,
NRW-ch,1971.10.07,1-0,,,
NRW-ch,1971.10.07,1-0,,,
NRW-ch,1971.10.07,0-1,,,
NRW-ch,1971.10.07,1/2-1/2,,,
NRW-ch,1971.10.07,0-1,,,
NRW-ch,1971.10.07,1-0,,,
NRW-ch,1971.10.07,1/2-1/2,,,
NRW-ch,1971.10.07,0-1,,,
NRW-ch,1971.10.07,1/2-1/2,,,
NRW-ch,1971.10.07,1-0,,,
NRW-ch,1971.10.07,0-1,,,
NRW-ch,1971.10.07,1-0,,,
NRW-ch,1971.10.07,0-1,,,
NRW-ch,1971.10.08,1/2-1/2,,,
NRW-ch,1971.10.08,1/2-1/2,,,
NRW-ch,1971.10.08,0-1,,,
NRW-ch,1971.10.08,1/2-1/2,,,
NRW-ch,1971.10.08,1/2-1/2,,,
NRW-ch,1971.10.08,1/2-1/2,,,
NRW-ch,1971.10.08,1/2-1/2,,,
NRW-ch,1971.10.09,0-1,,,
NRW-ch,1971.10.09,1/2-1/2,,,
NRW-ch,1971.10.09,1/2-1/2,,,
NRW-ch,1971.10.09,1/2-1/2,,,
NRW-ch,1971.10.09,0-1,,,
NRW-ch,1971.10.09,0-1,,,
NRW-ch,1971.10.09,1/2-1/2,,,
Cambridge A,1971.??.??,0-1,,,
Cambridge A,1971.??.??,1/2-1/2,,,
Cambridge A,1971.??.??,1/2-1/2,,,
Cambridge A,1971.??.??,1/2-1/2,,,
Cambridge A,1971.??.??,1-0,,,
Cambridge A,1971.??.??,1-0,,,
Cambridge B,1971.??.??,1/2-1/2,,,
Cambridge B,1971.??.??,1/2-1/2,,,
Cambridge B,1971.??.??,1/2-1/2,,,
Cambridge B,1971.??.??,1/2-1/2,,,
Cambridge B,1971.??.??,1-0,,,
Cambridge C,1971.??.??,1-0,,,
Cambridge C,1971.??.??,0-1,,,
Cambridge C,1971.??.??,0-1,,,
Cambridge C,1971.??.??,0-1,,,
Cambridge C,1971.??.??,1-0,,,
DEN-chT 7172,1971.10.10,0-1,,,
DEN-chT 7172,1971.10.10,1-0,,,
DEN-chT 7172,1971.10.31,1-0,,,
DEN-chT 7172,1971.10.31,0-1,,,
DEN-chT 7172,1971.10.31,1-0,,,
DEN-chT 7172,1971.11.14,1-0,,,
DEN-chT 7172,1971.12.05,0-1,,,
DEN-chT 7172,1972.03.05,1-0,,,
DEN-chT 7172,1972.03.19,0-1,,,
DEN-chT 7172,1972.04.16,0-1,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1/2-1/2,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,1-0,,,
Goglidze Memorial,1971.??.??,0-1,,,
Goglidze Memorial,1971.??.??,1-0,,,
Oslo Barda memorial,1971.10.??,0-1,,,
Oslo Barda memorial,1971.10.??,1-0,,,
Oslo Barda memorial,1971.10.??,1-0,,,
Oslo Barda memorial,1971.10.??,1-0,,,
Venice,1971.??.??,1/2-1/2,,,
Venice,1971.??.??,1-0,,,
Venice,1971.??.??,1-0,,,
Venice,1971.??.??,1-0,,,
