Event,Date,Result,WhiteElo,BlackElo,TimeControl
GRE-GER m,1999.10.12,1-0,2578,2507,
GRE-GER m,1999.10.12,1-0,2599,2505,
GRE-GER m,1999.10.12,1-0,2636,2514,
GRE-GER m,1999.10.12,1/2-1/2,2591,2526,
GRE-GER m,1999.10.12,1-0,2478,2384,
GRE-GER m,1999.10.13,1-0,2507,2636,
GRE-GER m,1999.10.13,1-0,2514,2478,
GRE-GER m,1999.10.13,0-1,2384,2591,
GRE-GER m,1999.10.13,1/2-1/2,2526,2599,
GRE-GER m,1999.10.13,1/2-1/2,2505,2578,
GRE-GER m,1999.10.14,0-1,2578,2526,
GRE-GER m,1999.10.14,1-0,2599,2384,
GRE-GER m,1999.10.14,1-0,2636,2505,
GRE-GER m,1999.10.14,1/2-1/2,2591,2514,
GRE-GER m,1999.10.14,1/2-1/2,2478,2507,
GRE-GER m,1999.10.15,0-1,2507,2591,
GRE-GER m,1999.10.15,1/2-1/2,2514,2599,
GRE-GER m,1999.10.15,1-0,2384,2578,
GRE-GER m,1999.10.15,0-1,2526,2636,
GRE-GER m,1999.10.15,1/2-1/2,2505,2478,
GRE-GER m,1999.10.16,1/2-1/2,2507,2599,
GRE-GER m,1999.10.16,1-0,2578,2514,
GRE-GER m,1999.10.16,1-0,2636,2384,
GRE-GER m,1999.10.16,1/2-1/2,2478,2526,
GRE-GER m,1999.10.16,1/2-1/2,2505,2591,
Tordera m,1999.10.12,1-0,2335,,
Tordera m,1999.10.12,1-0,2335,,
Tordera m,1999.10.12,1-0,2335,,
Tordera m,1999.10.12,0-1,2335,,
Tordera m,1999.10.12,1-0,2335,,
Tordera m,1999.10.12,1/2-1/2,2335,,
Tordera m,1999.10.12,1/2-1/2,2335,,
Tordera m,1999.10.12,1/2-1/2,2335,,
Tordera m,1999.10.12,1/2-1/2,2335,,
Tordera m,1999.10.12,0-1,2335,,
Tordera m,1999.10.12,1-0,2335,,
Rio de Janeiro CXG Interno-6,1999.10.13,1-0,1658,1646,
Rio de Janeiro CXG Interno-6,1999.10.13,1/2-1/2,2044,1728,
Rio de Janeiro CXG Interno-6,1999.10.13,0-1,1123,1597,
Rio de Janeiro CXG Interno-6,1999.10.14,1-0,1658,1123,
Rio de Janeiro CXG Interno-6,1999.10.14,1/2-1/2,1721,2044,
Rio de Janeiro CXG Interno-6,1999.10.14,0-1,1646,1728,
Goch op 10th,1999.10.14,1-0,2512,1928,
Goch op 10th,1999.10.14,0-1,1926,2509,
Goch op 10th,1999.10.14,1-0,2472,1919,
Goch op 10th,1999.10.14,0-1,1905,2443,
Goch op 10th,1999.10.14,1-0,2429,1900,
Goch op 10th,1999.10.14,0-1,1898,2422,
Goch op 10th,1999.10.14,0-1,2390,1890,
Goch op 10th,1999.10.14,0-1,1886,2374,
Goch op 10th,1999.10.14,1-0,2364,1886,
Goch op 10th,1999.10.14,0-1,1884,2360,
Goch op 10th,1999.10.14,1-0,2331,1879,
Goch op 10th,1999.10.14,0-1,1875,2301,
Goch op 10th,1999.10.14,1-0,2280,1874,
Goch op 10th,1999.10.14,0-1,1858,2267,
Goch op 10th,1999.10.14,1-0,2264,1855,
Goch op 10th,1999.10.14,1/2-1/2,1848,2261,
Goch op 10th,1999.10.14,1-0,2245,1830,
Goch op 10th,1999.10.14,0-1,1824,2239,
Goch op 10th,1999.10.14,1-0,2238,1819,
Goch op 10th,1999.10.14,1/2-1/2,1816,2214,
Goch op 10th,1999.10.14,1-0,2214,1808,
Goch op 10th,1999.10.14,1/2-1/2,1799,2211,
Goch op 10th,1999.10.14,1-0,2203,1797,
Goch op 10th,1999.10.14,1/2-1/2,1796,2196,
Goch op 10th,1999.10.14,1-0,2191,1793,
Goch op 10th,1999.10.15,0-1,2107,2512,
Goch op 10th,1999.10.15,1-0,2509,2099,
