Event,Date,Result,WhiteElo,BlackElo,TimeControl
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1-0,2435,2325,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,0-1,2290,,
St Ingbert op,1991.??.??,1-0,2405,2495,
St Ingbert op,1991.??.??,1-0,2365,2275,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,2005,,
St Ingbert op,1991.??.??,1/2-1/2,2365,2355,
St Ingbert op,1991.??.??,1-0,,2270,
St Ingbert op,1991.??.??,1/2-1/2,2225,2415,
St Ingbert op,1991.??.??,1-0,2310,,
St Ingbert op,1991.??.??,0-1,2230,,
St Ingbert op,1991.??.??,1/2-1/2,2300,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,2295,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,2345,,
St Ingbert op,1991.??.??,0-1,2335,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1-0,2300,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,2215,2070,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1-0,2320,,
St Ingbert op,1991.??.??,1-0,,2440,
St Ingbert op,1991.??.??,1/2-1/2,,2265,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,2260,,
St Ingbert op,1991.??.??,1/2-1/2,2540,2470,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1/2-1/2,2235,2495,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,2270,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,2295,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,0-1,2315,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,2415,2435,
St Ingbert op,1991.??.??,1/2-1/2,2420,2355,
St Ingbert op,1991.??.??,0-1,,2375,
St Ingbert op,1991.??.??,0-1,2475,2405,
St Ingbert op,1991.??.??,1/2-1/2,,2255,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,2275,,
St Ingbert op,1991.??.??,1/2-1/2,,2265,
St Ingbert op,1991.??.??,0-1,,2120,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,,2280,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1-0,2330,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1/2-1/2,,2295,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1/2-1/2,2430,2410,
St Ingbert op,1991.??.??,1/2-1/2,2205,2365,
St Ingbert op,1991.??.??,1-0,2430,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1/2-1/2,,2230,
St Ingbert op,1991.??.??,1-0,,2005,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1/2-1/2,,2420,
St Ingbert op,1991.??.??,0-1,2335,2430,
St Ingbert op,1991.??.??,0-1,,2175,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1-0,2290,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1-0,2325,2280,
St Ingbert op,1991.??.??,1/2-1/2,2210,2480,
St Ingbert op,1991.??.??,0-1,,2330,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,1-0,2235,1990,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,,
St Ingbert op,1991.??.??,1/2-1/2,,,
St Ingbert op,1991.??.??,0-1,2280,2315,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,2390,
St Ingbert op,1991.??.??,1-0,2005,,
St Ingbert op,1991.??.??,1-0,,,
St Ingbert op,1991.??.??,0-1,,,
