Event,Date,Result,WhiteElo,BlackElo,TimeControl
Olympiad-31,1994.12.15,1-0,2645,2625,
Olympiad-31,1994.12.16,1/2-1/2,2615,2630,
Olympiad-31,1994.12.16,1/2-1/2,2590,2585,
Olympiad-31,1994.12.16,1-0,2590,2540,
Olympiad-31,1994.12.15,1/2-1/2,2615,2560,
Olympiad-31,1994.12.16,1/2-1/2,2495,2525,
Olympiad-31,1994.12.16,1/2-1/2,2420,2430,
Olympiad-31,1994.12.16,0-1,2345,2450,
Olympiad-31,1994.12.16,1/2-1/2,2530,2450,
Olympiad-31,1994.12.16,1/2-1/2,2445,2430,
Olympiad-31,1994.12.16,0-1,2370,2395,
Olympiad-31,1994.12.16,1/2-1/2,2420,2410,
Olympiad-31,1994.12.16,1-0,2510,2490,
Olympiad-31,1994.12.16,1/2-1/2,2260,2440,
Olympiad-31,1994.12.16,0-1,2425,,
Olympiad-31,1994.12.16,1-0,,2420,
Olympiad-31,1994.12.16,0-1,,,
Olympiad-31,1994.12.16,1/2-1/2,,,
Olympiad-31,1994.12.16,1/2-1/2,,2205,
Olympiad-31,1994.12.16,1/2-1/2,,,
Olympiad-31,1994.12.16,1-0,2520,2520,
Olympiad-31,1994.12.16,1/2-1/2,2445,2510,
Olympiad-31,1994.12.16,1-0,2395,2405,
Olympiad-31,1994.12.16,0-1,2130,2415,
Olympiad-31,1994.12.16,1-0,2450,2240,
Olympiad-31,1994.12.16,1-0,,2160,
Olympiad-31,1994.12.16,1/2-1/2,2205,2250,
Olympiad-31,1994.12.16,0-1,,,
Olympiad-31,1994.12.16,1/2-1/2,2680,2595,
Olympiad-31,1994.12.16,1/2-1/2,2510,2545,
Olympiad-31,1994.12.16,1-0,2510,2510,
Olympiad-31,1994.12.16,0-1,2455,2500,
Olympiad-31,1994.12.16,1-0,2410,2335,
Olympiad-31,1994.12.16,0-1,2285,2300,
Olympiad-31,1994.12.16,1-0,2330,,
Olympiad-31,1994.12.16,0-1,,2320,
Olympiad-31,1994.12.16,1-0,,,
Olympiad-31,1994.12.16,1-0,,,
Olympiad-31,1994.12.16,1-0,,,
Olympiad-31,1994.12.16,1-0,2190,,
Olympiad-31,1994.12.16,1/2-1/2,2645,2655,
Olympiad-31,1994.12.16,1/2-1/2,2625,2615,
Olympiad-31,1994.12.16,1/2-1/2,2525,2565,
Olympiad-31,1994.12.16,1/2-1/2,2495,2495,
Olympiad-31,1994.12.16,1-0,2255,,
Olympiad-31,1994.12.16,1/2-1/2,2210,2150,
Olympiad-31,1994.12.16,1/2-1/2,,2210,
Olympiad-31,1994.12.16,1-0,,2180,
Olympiad-31,1994.12.16,1-0,2495,2575,
Olympiad-31,1994.12.16,0-1,2475,2505,
Olympiad-31,1994.12.16,1/2-1/2,2440,2455,
Olympiad-31,1994.12.16,1-0,2395,2460,
Olympiad-31,1994.12.16,1-0,2290,,
Olympiad-31,1994.12.16,0-1,,2180,
Olympiad-31,1994.12.16,0-1,,,
Olympiad-31,1994.12.16,1-0,,,
Olympiad-31,1994.12.16,1/2-1/2,2415,2445,
Olympiad-31,1994.12.16,1-0,2415,,
Olympiad-31,1994.12.16,1/2-1/2,2305,2360,
Olympiad-31,1994.12.16,1/2-1/2,2370,,
Olympiad-31,1994.12.16,1-0,2575,2580,
Olympiad-31,1994.12.16,0-1,2500,2560,
Olympiad-31,1994.12.16,1-0,2505,2435,
Olympiad-31,1994.12.16,1/2-1/2,2440,2480,
Olympiad-31,1994.12.16,1/2-1/2,2345,2245,
Olympiad-31,1994.12.16,0-1,2240,2295,
Olympiad-31,1994.12.16,1-0,2330,2255,
Olympiad-31,1994.12.16,0-1,2245,2315,
Olympiad-31,1994.12.16,1-0,2420,,
