Event,Date,Result,WhiteElo,BlackElo,TimeControl
Chigorin Memorial-01,1947.11.27,1-0,,,
Chigorin Memorial-01,1947.11.27,0-1,,,
Chigorin Memorial-01,1947.11.27,1-0,,,
Chigorin Memorial-01,1947.11.27,1/2-1/2,,,
Chigorin Memorial-01,1947.11.27,1/2-1/2,,,
Chigorin Memorial-01,1947.11.27,1/2-1/2,,,
Chigorin Memorial-01,1947.11.27,0-1,,,
Chigorin Memorial-01,1947.11.27,0-1,,,
Chigorin Memorial-01,1947.11.28,1/2-1/2,,,
Chigorin Memorial-01,1947.11.28,1-0,,,
Chigorin Memorial-01,1947.11.28,1/2-1/2,,,
Chigorin Memorial-01,1947.11.28,1-0,,,
Chigorin Memorial-01,1947.11.28,0-1,,,
Chigorin Memorial-01,1947.11.28,1-0,,,
Chigorin Memorial-01,1947.11.28,1/2-1/2,,,
Chigorin Memorial-01,1947.11.28,1/2-1/2,,,
Chigorin Memorial-01,1947.12.01,0-1,,,
Chigorin Memorial-01,1947.12.01,1/2-1/2,,,
Chigorin Memorial-01,1947.12.01,1-0,,,
Chigorin Memorial-01,1947.12.01,1-0,,,
Chigorin Memorial-01,1947.12.01,0-1,,,
Chigorin Memorial-01,1947.12.01,1-0,,,
Chigorin Memorial-01,1947.12.01,0-1,,,
Chigorin Memorial-01,1947.12.01,0-1,,,
Chigorin Memorial-01,1947.12.02,1/2-1/2,,,
Chigorin Memorial-01,1947.12.02,0-1,,,
Chigorin Memorial-01,1947.12.02,1-0,,,
Chigorin Memorial-01,1947.12.02,1-0,,,
Chigorin Memorial-01,1947.12.02,1/2-1/2,,,
Chigorin Memorial-01,1947.12.02,1/2-1/2,,,
Chigorin Memorial-01,1947.12.02,1/2-1/2,,,
Chigorin Memorial-01,1947.12.02,1/2-1/2,,,
Chigorin Memorial-01,1947.12.03,1/2-1/2,,,
Chigorin Memorial-01,1947.12.03,1-0,,,
Chigorin Memorial-01,1947.12.03,1-0,,,
Chigorin Memorial-01,1947.12.03,0-1,,,
Chigorin Memorial-01,1947.12.03,1-0,,,
Chigorin Memorial-01,1947.12.03,1/2-1/2,,,
Chigorin Memorial-01,1947.12.03,1/2-1/2,,,
Chigorin Memorial-01,1947.12.03,0-1,,,
Chigorin Memorial-01,1947.12.06,0-1,,,
Chigorin Memorial-01,1947.12.06,1-0,,,
Chigorin Memorial-01,1947.12.06,1/2-1/2,,,
Chigorin Memorial-01,1947.12.06,1-0,,,
Chigorin Memorial-01,1947.12.06,1/2-1/2,,,
Chigorin Memorial-01,1947.12.06,1-0,,,
Chigorin Memorial-01,1947.12.06,1/2-1/2,,,
Chigorin Memorial-01,1947.12.06,0-1,,,
Chigorin Memorial-01,1947.12.08,1-0,,,
Chigorin Memorial-01,1947.12.08,0-1,,,
Chigorin Memorial-01,1947.12.08,1-0,,,
Chigorin Memorial-01,1947.12.08,1/2-1/2,,,
Chigorin Memorial-01,1947.12.08,1-0,,,
Chigorin Memorial-01,1947.12.08,1-0,,,
Chigorin Memorial-01,1947.12.08,0-1,,,
Chigorin Memorial-01,1947.12.08,0-1,,,
Chigorin Memorial-01,1947.12.09,0-1,,,
Chigorin Memorial-01,1947.12.09,1-0,,,
Chigorin Memorial-01,1947.12.09,1/2-1/2,,,
Chigorin Memorial-01,1947.12.09,1-0,,,
Chigorin Memorial-01,1947.12.09,1/2-1/2,,,
Chigorin Memorial-01,1947.12.09,1/2-1/2,,,
Chigorin Memorial-01,1947.12.09,1/2-1/2,,,
Chigorin Memorial-01,1947.12.09,1-0,,,
Chigorin Memorial-01,1947.12.11,1/2-1/2,,,
Chigorin Memorial-01,1947.12.11,1/2-1/2,,,
Chigorin Memorial-01,1947.12.11,0-1,,,
Chigorin Memorial-01,1947.12.11,1-0,,,
Chigorin Memorial-01,1947.12.11,1/2-1/2,,,
Chigorin Memorial-01,1947.12.11,1-0,,,
Chigorin Memorial-01,1947.12.11,1/2-1/2,,,
Chigorin Memorial-01,1947.12.11,1/2-1/2,,,
Chigorin Memorial-01,1947.12.12,1/2-1/2,,,
Chigorin Memorial-01,1947.12.12,1-0,,,
Chigorin Memorial-01,1947.12.12,1/2-1/2,,,
Chigorin Memorial-01,1947.12.12,1-0,,,
Chigorin Memorial-01,1947.12.12,1/2-1/2,,,
Chigorin Memorial-01,1947.12.12,0-1,,,
Chigorin Memorial-01,1947.12.12,1/2-1/2,,,
Chigorin Memorial-01,1947.12.12,1/2-1/2,,,
Chigorin Memorial-01,1947.12.15,1/2-1/2,,,
Chigorin Memorial-01,1947.12.15,1-0,,,
Chigorin Memorial-01,1947.12.15,1-0,,,
Chigorin Memorial-01,1947.12.15,1-0,,,
Chigorin Memorial-01,1947.12.15,1-0,,,
Chigorin Memorial-01,1947.12.15,1/2-1/2,,,
Chigorin Memorial-01,1947.12.15,1-0,,,
Chigorin Memorial-01,1947.12.15,1/2-1/2,,,
Chigorin Memorial-01,1947.12.16,1-0,,,
Chigorin Memorial-01,1947.12.16,0-1,,,
Chigorin Memorial-01,1947.12.16,1/2-1/2,,,
Chigorin Memorial-01,1947.12.16,1/2-1/2,,,
Chigorin Memorial-01,1947.12.16,1/2-1/2,,,
Chigorin Memorial-01,1947.12.16,0-1,,,
Chigorin Memorial-01,1947.12.16,1/2-1/2,,,
Chigorin Memorial-01,1947.12.16,0-1,,,
Chigorin Memorial-01,1947.12.19,1/2-1/2,,,
Chigorin Memorial-01,1947.12.19,1/2-1/2,,,
Chigorin Memorial-01,1947.12.19,0-1,,,
Chigorin Memorial-01,1947.12.19,1/2-1/2,,,
Chigorin Memorial-01,1947.12.19,1/2-1/2,,,
Chigorin Memorial-01,1947.12.19,1-0,,,
Chigorin Memorial-01,1947.12.19,1-0,,,
Chigorin Memorial-01,1947.12.19,1/2-1/2,,,
Chigorin Memorial-01,1947.12.22,1/2-1/2,,,
Chigorin Memorial-01,1947.12.22,1/2-1/2,,,
Chigorin Memorial-01,1947.12.22,1/2-1/2,,,
Chigorin Memorial-01,1947.12.22,1/2-1/2,,,
Chigorin Memorial-01,1947.12.22,1-0,,,
Chigorin Memorial-01,1947.12.22,1/2-1/2,,,
Chigorin Memorial-01,1947.12.22,0-1,,,
Chigorin Memorial-01,1947.12.22,0-1,,,
Match/Nation YUG-CSR,1947.11.30,0-1,,,
Match/Nation YUG-CSR,1947.11.30,1-0,,,
Match/Nation YUG-CSR,1947.11.30,1/2-1/2,,,
Match/Nation YUG-CSR,1947.11.30,1-0,,,
Match/Nation YUG-CSR,1947.11.30,0-1,,,
Match/Nation YUG-CSR,1947.11.30,1/2-1/2,,,
Match/Nation YUG-CSR,1947.11.30,1-0,,,
Match/Nation YUG-CSR,1947.11.30,1/2-1/2,,,
Match/Nation YUG-CSR,1947.11.30,0-1,,,
Match/Nation YUG-CSR,1947.11.30,1/2-1/2,,,
Match/Nation YUG-CSR,1947.12.02,1-0,,,
Match/Nation YUG-CSR,1947.12.02,1-0,,,
Match/Nation YUG-CSR,1947.12.02,1/2-1/2,,,
Match/Nation YUG-CSR,1947.12.02,1/2-1/2,,,
Match/Nation YUG-CSR,1947.12.02,1/2-1/2,,,
Match/Nation YUG-CSR,1947.12.02,1/2-1/2,,,
Match/Nation YUG-CSR,1947.12.02,1/2-1/2,,,
Match/Nation YUG-CSR,1947.12.02,1-0,,,
Match/Nation YUG-CSR,1947.12.02,0-1,,,
Match/Nation YUG-CSR,1947.12.02,1/2-1/2,,,
AUS-ch 1947/48,1946.12.26,1-0,,,
AUS-ch 1947/48,1946.12.26,0-1,,,
AUS-ch 1947/48,1946.12.26,1/2-1/2,,,
AUS-ch 1947/48,1946.12.26,1-0,,,
AUS-ch 1947/48,1946.12.26,0-1,,,
AUS-ch 1947/48,1946.12.26,0-1,,,
AUS-ch 1947/48,1946.12.26,1-0,,,
AUS-ch 1947/48,1946.12.27,0-1,,,
AUS-ch 1947/48,1946.12.27,0-1,,,
AUS-ch 1947/48,1946.12.27,0-1,,,
AUS-ch 1947/48,1946.12.27,1-0,,,
AUS-ch 1947/48,1946.12.27,0-1,,,
AUS-ch 1947/48,1946.12.27,1-0,,,
AUS-ch 1947/48,1946.12.27,1-0,,,
AUS-ch 1947/48,1946.12.28,1-0,,,
AUS-ch 1947/48,1946.12.28,1-0,,,
AUS-ch 1947/48,1946.12.28,0-1,,,
AUS-ch 1947/48,1946.12.28,1-0,,,
AUS-ch 1947/48,1946.12.28,1-0,,,
AUS-ch 1947/48,1946.12.28,0-1,,,
AUS-ch 1947/48,1946.12.28,0-1,,,
AUS-ch 1947/48,1946.12.30,1-0,,,
AUS-ch 1947/48,1946.12.30,1/2-1/2,,,
AUS-ch 1947/48,1946.12.30,0-1,,,
AUS-ch 1947/48,1946.12.30,0-1,,,
AUS-ch 1947/48,1946.12.30,1/2-1/2,,,
AUS-ch 1947/48,1946.12.30,0-1,,,
AUS-ch 1947/48,1946.12.30,0-1,,,
AUS-ch 1947/48,1946.12.31,1-0,,,
AUS-ch 1947/48,1946.12.31,1-0,,,
AUS-ch 1947/48,1946.12.31,1/2-1/2,,,
AUS-ch 1947/48,1946.12.31,0-1,,,
AUS-ch 1947/48,1946.12.31,1-0,,,
AUS-ch 1947/48,1946.12.31,1-0,,,
AUS-ch 1947/48,1946.12.31,1-0,,,
AUS-ch 1947/48,1947.01.01,0-1,,,
AUS-ch 1947/48,1947.01.01,1-0,,,
AUS-ch 1947/48,1947.01.01,0-1,,,
AUS-ch 1947/48,1947.01.01,0-1,,,
AUS-ch 1947/48,1947.01.01,0-1,,,
AUS-ch 1947/48,1947.01.01,1-0,,,
AUS-ch 1947/48,1947.01.01,1-0,,,
AUS-ch 1947/48,1947.01.02,1-0,,,
AUS-ch 1947/48,1947.01.02,1-0,,,
AUS-ch 1947/48,1947.01.02,1-0,,,
AUS-ch 1947/48,1947.01.02,1/2-1/2,,,
AUS-ch 1947/48,1947.01.02,1/2-1/2,,,
AUS-ch 1947/48,1947.01.02,0-1,,,
AUS-ch 1947/48,1947.01.02,0-1,,,
AUS-ch 1947/48,1947.01.03,0-1,,,
AUS-ch 1947/48,1947.01.03,0-1,,,
AUS-ch 1947/48,1947.01.03,1-0,,,
AUS-ch 1947/48,1947.01.03,1-0,,,
AUS-ch 1947/48,1947.01.03,0-1,,,
AUS-ch 1947/48,1947.01.03,0-1,,,
AUS-ch 1947/48,1947.01.03,1-0,,,
AUS-ch 1947/48,1947.01.04,0-1,,,
AUS-ch 1947/48,1947.01.04,1-0,,,
AUS-ch 1947/48,1947.01.04,1-0,,,
AUS-ch 1947/48,1947.01.04,0-1,,,
AUS-ch 1947/48,1947.01.04,0-1,,,
AUS-ch 1947/48,1947.01.04,1-0,,,
AUS-ch 1947/48,1947.01.04,1-0,,,
AUS-ch 1947/48,1947.01.06,0-1,,,
AUS-ch 1947/48,1947.01.06,1-0,,,
AUS-ch 1947/48,1947.01.06,0-1,,,
AUS-ch 1947/48,1947.01.06,1-0,,,
AUS-ch 1947/48,1947.01.06,1-0,,,
AUS-ch 1947/48,1947.01.06,0-1,,,
AUS-ch 1947/48,1947.01.06,1-0,,,
AUS-ch 1947/48,1947.01.07,0-1,,,
AUS-ch 1947/48,1947.01.07,0-1,,,
AUS-ch 1947/48,1947.01.07,1-0,,,
AUS-ch 1947/48,1947.01.07,1-0,,,
AUS-ch 1947/48,1947.01.07,0-1,,,
AUS-ch 1947/48,1947.01.07,0-1,,,
AUS-ch 1947/48,1947.01.07,0-1,,,
AUS-ch 1947/48,1947.01.08,1-0,,,
AUS-ch 1947/48,1947.01.08,0-1,,,
AUS-ch 1947/48,1947.01.08,1/2-1/2,,,
AUS-ch 1947/48,1947.01.08,1-0,,,
AUS-ch 1947/48,1947.01.08,1-0,,,
AUS-ch 1947/48,1947.01.08,1-0,,,
AUS-ch 1947/48,1947.01.08,0-1,,,
AUS-ch 1947/48,1947.01.09,0-1,,,
AUS-ch 1947/48,1947.01.09,1-0,,,
AUS-ch 1947/48,1947.01.09,0-1,,,
AUS-ch 1947/48,1947.01.09,1-0,,,
AUS-ch 1947/48,1947.01.09,0-1,,,
AUS-ch 1947/48,1947.01.09,1-0,,,
AUS-ch 1947/48,1947.01.09,0-1,,,
Christmas Congress 1947/48-23 Premier,1947.12.29,0-1,,,
Christmas Congress 1947/48-23 Premier,1947.12.29,1/2-1/2,,,
Christmas Congress 1947/48-23 Premier,1947.12.29,0-1,,,
Christmas Congress 1947/48-23 Premier,1947.12.29,1-0,,,
Christmas Congress 1947/48-23 Premier,1947.12.29,0-1,,,
Christmas Congress 1947/48-23 Premier,1947.12.30,1/2-1/2,,,
Christmas Congress 1947/48-23 Premier,1947.12.30,1-0,,,
Christmas Congress 1947/48-23 Premier,1947.12.30,1/2-1/2,,,
Christmas Congress 1947/48-23 Premier,1947.12.30,0-1,,,
Christmas Congress 1947/48-23 Premier,1947.12.30,1/2-1/2,,,
Christmas Congress 1947/48-23 Premier,1947.12.31,1/2-1/2,,,
Christmas Congress 1947/48-23 Premier,1947.12.31,1-0,,,
Christmas Congress 1947/48-23 Premier,1947.12.31,1/2-1/2,,,
Christmas Congress 1947/48-23 Premier,1947.12.31,1-0,,,
