Event,Date,Result,WhiteElo,BlackElo,ECO,TimeControl
ISL-chT 0910,2010.03.05,1/2-1/2,2660,2646,E32,
NED-chT 0910,2010.03.27,0-1,2655,2650,E04,
Bundesliga 0910,2010.02.06,1/2-1/2,2670,2756,C86,
Bundesliga 0910,2010.02.06,1/2-1/2,2681,2718,A29,
Bundesliga 0910,2010.02.27,1/2-1/2,2740,2788,C78,
Bundesliga 0910,2010.02.27,1/2-1/2,2741,2721,C95,
Bundesliga 0910,2010.02.27,1/2-1/2,2717,2730,D46,
Bundesliga 0910,2010.02.27,1/2-1/2,2709,2654,E11,
Bundesliga 0910,2010.02.27,1/2-1/2,2658,2711,D39,
Bundesliga 0910,2010.02.27,0-1,2682,2667,B90,
Bundesliga 0910,2010.02.27,1-0,2658,2685,A13,
Bundesliga 0910,2010.03.20,1/2-1/2,2721,2718,D85,
Bundesliga 0910,2010.03.20,1/2-1/2,2717,2649,A59,
Bundesliga 0910,2010.03.20,1/2-1/2,2655,2654,D38,
Bundesliga 0910,2010.03.20,1/2-1/2,2658,2661,D35,
Bundesliga 0910,2010.03.21,0-1,2681,2730,C78,
Bundesliga 0910,2010.03.21,1/2-1/2,2681,2721,C68,
Bundesliga 0910,2010.04.10,1/2-1/2,2718,2730,C68,
Bundesliga 0910,2010.04.10,1/2-1/2,2709,2649,D37,
Bundesliga 0910,2010.04.10,1/2-1/2,2661,2682,E01,
BCF-chT1a 0910 (4NCL),2010.01.17,0-1,2709,2704,E01,
TUR-chT,2010.07.01,1-0,2697,2642,B30,
TUR-chT,2010.07.01,1/2-1/2,2643,2699,B90,
TUR-chT,2010.07.05,0-1,2643,2684,B93,
TUR-chT,2010.07.08,1/2-1/2,2684,2699,E04,
World op 38th,2010.06.30,1-0,2703,2640,A01,
World op 38th,2010.07.01,1/2-1/2,2640,2703,D19,
World op 38th,2010.07.02,1/2-1/2,2640,2663,D46,
World op 38th,2010.07.02,1/2-1/2,2660,2640,D43,
World op 38th,2010.07.02,1/2-1/2,2703,2653,B81,
Barbera del Valles op 33th,2010.07.08,1/2-1/2,2653,2665,A30,
GRE-chT Div-A 38th,2010.07.10,1/2-1/2,2731,2700,B18,
GRE-chT Div-A 38th,2010.07.11,1/2-1/2,2691,2731,B46,
Dortmund SuperGM 38th,2010.07.15,1/2-1/2,2790,2681,D18,
Dortmund SuperGM 38th,2010.07.15,0-1,2684,2761,B86,
Dortmund SuperGM 38th,2010.07.15,1-0,2734,2734,C45,
Dortmund SuperGM 38th,2010.07.16,1/2-1/2,2681,2684,D39,
Dortmund SuperGM 38th,2010.07.16,1/2-1/2,2734,2761,E62,
Dortmund SuperGM 38th,2010.07.16,1-0,2734,2790,E11,
Dortmund SuperGM 38th,2010.07.17,1/2-1/2,2790,2734,E05,
Dortmund SuperGM 38th,2010.07.17,1-0,2761,2681,D23,
Dortmund SuperGM 38th,2010.07.17,1/2-1/2,2684,2734,C67,
Dortmund SuperGM 38th,2010.07.18,1-0,2681,2734,D87,
Dortmund SuperGM 38th,2010.07.18,1/2-1/2,2761,2790,D37,
Dortmund SuperGM 38th,2010.07.18,1/2-1/2,2684,2734,C78,
Dortmund SuperGM 38th,2010.07.19,1-0,2790,2684,E04,
Dortmund SuperGM 38th,2010.07.19,0-1,2734,2681,B12,
Dortmund SuperGM 38th,2010.07.19,1-0,2734,2761,E36,
Dortmund SuperGM 38th,2010.07.21,1/2-1/2,2681,2790,E05,
Dortmund SuperGM 38th,2010.07.21,1/2-1/2,2734,2734,E05,
Dortmund SuperGM 38th,2010.07.21,0-1,2761,2684,D48,
Dortmund SuperGM 38th,2010.07.22,1/2-1/2,2790,2734,E17,
Dortmund SuperGM 38th,2010.07.22,1-0,2761,2734,A38,
Dortmund SuperGM 38th,2010.07.22,1/2-1/2,2684,2681,B12,
Dortmund SuperGM 38th,2010.07.23,1/2-1/2,2681,2761,E05,
Dortmund SuperGM 38th,2010.07.23,1/2-1/2,2734,2790,E04,
Dortmund SuperGM 38th,2010.07.23,1-0,2734,2684,E59,
Dortmund SuperGM 38th,2010.07.24,1/2-1/2,2681,2734,D46,
Dortmund SuperGM 38th,2010.07.24,1/2-1/2,2761,2734,D37,
Dortmund SuperGM 38th,2010.07.24,1-0,2684,2790,B07,
Dortmund SuperGM 38th,2010.07.25,1-0,2790,2761,D38,
Dortmund SuperGM 38th,2010.07.25,1-0,2734,2684,D39,
Dortmund SuperGM 38th,2010.07.25,1/2-1/2,2734,2681,B13,
Banska Stiavnica m,2010.07.16,1-0,2729,2723,B81,
Banska Stiavnica m,2010.07.16,0-1,2723,2729,B01,
Banska Stiavnica m blindfold,2010.07.16,1/2-1/2,2723,2729,B20,
Biel GM 43rd,2010.07.19,1/2-1/2,2672,2708,E11,
Biel GM 43rd,2010.07.19,1/2-1/2,2723,2697,C68,
Biel GM 43rd,2010.07.20,1/2-1/2,2672,2650,A41,
Biel GM 43rd,2010.07.20,1/2-1/2,2674,2723,D78,
Biel GM 43rd,2010.07.21,1/2-1/2,2650,2708,E01,
Biel GM 43rd,2010.07.22,1/2-1/2,2672,2723,E92,
Biel GM 43rd,2010.07.22,1/2-1/2,2708,2697,D46,
Biel GM 43rd,2010.07.23,1-0,2697,2674,D46,
Biel GM 43rd,2010.07.23,1/2-1/2,2723,2650,C63,
Biel GM 43rd,2010.07.24,1/2-1/2,2708,2674,D11,
Biel GM 43rd,2010.07.26,1/2-1/2,2697,2672,E05,
Biel GM 43rd,2010.07.26,1/2-1/2,2723,2708,C95,
Biel GM 43rd,2010.07.27,1/2-1/2,2650,2697,B30,
Biel GM 43rd,2010.07.27,1-0,2672,2674,A29,
Biel GM 43rd,2010.07.28,1/2-1/2,2674,2650,A55,
Biel MTO op 43rd,2010.07.26,1/2-1/2,2645,2682,D85,
Pamplona San Juan 4th,2010.07.24,1/2-1/2,2639,2656,A30,
Pamplona San Juan 4th,2010.07.24,1-0,2663,2662,D91,
Pamplona San Juan 4th,2010.07.25,1/2-1/2,2665,2663,B17,
Pamplona San Juan 4th,2010.07.25,1/2-1/2,2662,2639,C67,
Pamplona San Juan 4th,2010.07.25,1/2-1/2,2656,2697,C77,
Pamplona San Juan 4th,2010.07.26,1/2-1/2,2697,2662,D80,
Pamplona San Juan 4th,2010.07.26,1/2-1/2,2639,2665,E11,
Pamplona San Juan 4th,2010.07.27,1/2-1/2,2665,2697,C65,
Pamplona San Juan 4th,2010.07.27,1/2-1/2,2715,2656,C11,
Pamplona San Juan 4th,2010.07.28,1-0,2663,2715,D31,
Pamplona San Juan 4th,2010.07.28,1/2-1/2,2656,2662,D85,
Pamplona San Juan 4th,2010.07.29,1/2-1/2,2665,2656,B77,
Pamplona San Juan 4th,2010.07.29,1/2-1/2,2715,2662,D97,
Pamplona San Juan 4th,2010.07.29,1-0,2663,2639,D20,
Pamplona San Juan 4th,2010.07.30,1/2-1/2,2697,2663,D30,
Pamplona San Juan 4th,2010.07.30,1/2-1/2,2639,2715,A17,
Pamplona San Juan 4th,2010.07.30,1/2-1/2,2662,2665,E25,
Pamplona San Juan 4th,2010.07.31,1/2-1/2,2639,2697,A07,
Pamplona San Juan 4th,2010.07.31,0-1,2715,2665,E25,
Pamplona San Juan 4th,2010.08.01,1-0,2697,2715,E91,
Pamplona San Juan 4th,2010.08.01,1/2-1/2,2656,2663,B17,
Biel GM playoff 43rd,2010.07.29,1-0,2697,2723,A65,
Biel GM playoff 43rd,2010.07.29,1-0,2723,2697,D02,
Biel GM playoff 43rd,2010.07.29,0-1,2723,2697,A47,
Arctic Chess Challenge,2010.08.05,1/2-1/2,2677,2646,E15,
Arctic Chess Challenge,2010.08.08,1-0,2648,2677,B85,
Politiken Cup 32nd,2010.08.08,1-0,2755,2655,D20,
Copenhagen KO,2010.01.01,0-1,2700,2734,E95,
Copenhagen KO,2010.01.01,0-1,2734,2700,B18,
Copenhagen KO,2010.01.01,0-1,2700,2734,A49,
CHN-RUS Summit Men 7th,2010.08.05,1/2-1/2,2676,2688,D20,
CHN-RUS Summit Men 7th,2010.08.05,1/2-1/2,2732,2724,B66,
CHN-RUS Summit Men 7th,2010.08.05,1/2-1/2,2645,2690,B82,
CHN-RUS Summit Men 7th,2010.08.05,1/2-1/2,2668,2722,D38,
CHN-RUS Summit Men 7th,2010.08.06,0-1,2688,2668,B92,
CHN-RUS Summit Men 7th,2010.08.06,0-1,2690,2676,D18,
CHN-RUS Summit Men 7th,2010.08.06,0-1,2722,2724,A29,
CHN-RUS Summit Men 7th,2010.08.06,1-0,2716,2732,D15,
CHN-RUS Summit Men 7th,2010.08.07,0-1,2732,2676,B92,
CHN-RUS Summit Men 7th,2010.08.07,1/2-1/2,2688,2645,C07,
CHN-RUS Summit Men 7th,2010.08.07,1/2-1/2,2724,2690,B76,
CHN-RUS Summit Men 7th,2010.08.07,1/2-1/2,2716,2722,E04,
CHN-RUS Summit Men 7th,2010.08.08,1/2-1/2,2690,2716,C42,
CHN-RUS Summit Men 7th,2010.08.08,1/2-1/2,2722,2645,D17,
CHN-RUS Summit Men 7th,2010.08.08,1/2-1/2,2724,2688,B85,
CHN-RUS Summit Men 7th,2010.08.08,1/2-1/2,2668,2732,D15,
CHN-RUS Summit Men 7th,2010.08.09,1-0,2676,2722,D38,
CHN-RUS Summit Men 7th,2010.08.09,1/2-1/2,2645,2732,D15,
CHN-RUS Summit Men 7th,2010.08.09,1/2-1/2,2688,2716,C43,
CHN-RUS Summit Men 7th,2010.08.09,1-0,2690,2668,C67,
George Marx Memorial 8th,2010.08.10,1/2-1/2,2670,2717,E15,
George Marx Memorial 8th,2010.08.15,1/2-1/2,2717,2670,B90,
Mainz Ordix op 17th,2010.08.08,1-0,2719,2643,C88,
Mainz Ordix op 17th,2010.08.08,0-1,2760,2699,D94,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2671,2783,C65,
Mainz Ordix op 17th,2010.08.08,1-0,2747,2663,B12,
Mainz Ordix op 17th,2010.08.08,0-1,2783,2713,D15,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2695,2747,C90,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2699,2719,B90,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2723,2645,A00,
Mainz Ordix op 17th,2010.08.08,1-0,2719,2695,B07,
Mainz Ordix op 17th,2010.08.08,0-1,2671,2699,E11,
Mainz Ordix op 17th,2010.08.08,1-0,2713,2747,C91,
Mainz Ordix op 17th,2010.08.08,0-1,2645,2719,A45,
Mainz Ordix op 17th,2010.08.08,0-1,2699,2713,C84,
Mainz Ordix op 17th,2010.08.08,1-0,2643,2699,D13,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2713,2719,B73,
Mainz Ordix op 17th,2010.08.08,1-0,2656,2695,B06,
Mainz Ordix op 17th,2010.08.08,1-0,2783,2656,A43,
Mainz Ordix op 17th,2010.08.08,1-0,2663,2643,D11,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2719,2747,C92,
Mainz Ordix op 17th,2010.08.08,1/2-1/2,2760,2713,D85,
ESP-chT CECLUB GpA,2010.08.12,1-0,2663,2639,E42,
ESP-chT CECLUB Titulo,2010.08.14,1/2-1/2,2642,2639,D36,
FRA-chA 85th,2010.08.10,1/2-1/2,2639,2697,D14,
FRA-chA 85th,2010.08.12,1/2-1/2,2639,2720,E39,
FRA-chA 85th,2010.08.20,1/2-1/2,2720,2697,C67,
Amsterdam NH Hotels 5th,2010.08.12,1/2-1/2,2697,2677,B85,
Amsterdam NH Hotels 5th,2010.08.12,1/2-1/2,2672,2734,A34,
Amsterdam NH Hotels 5th,2010.08.12,1/2-1/2,2674,2700,D17,
Amsterdam NH Hotels 5th,2010.08.13,1/2-1/2,2739,2672,E05,
Amsterdam NH Hotels 5th,2010.08.13,1/2-1/2,2700,2697,A29,
Amsterdam NH Hotels 5th,2010.08.13,1/2-1/2,2734,2674,B12,
Amsterdam NH Hotels 5th,2010.08.13,1/2-1/2,2677,2729,E32,
Amsterdam NH Hotels 5th,2010.08.14,1-0,2697,2734,D87,
Amsterdam NH Hotels 5th,2010.08.14,1-0,2729,2700,D37,
Amsterdam NH Hotels 5th,2010.08.14,1/2-1/2,2674,2739,C43,
Amsterdam NH Hotels 5th,2010.08.15,1/2-1/2,2739,2697,A50,
Amsterdam NH Hotels 5th,2010.08.15,1-0,2734,2729,B12,
Amsterdam NH Hotels 5th,2010.08.15,0-1,2677,2672,A11,
Amsterdam NH Hotels 5th,2010.08.16,1-0,2672,2700,D78,
Amsterdam NH Hotels 5th,2010.08.16,0-1,2729,2739,D40,
Amsterdam NH Hotels 5th,2010.08.16,1/2-1/2,2674,2677,A13,
Amsterdam NH Hotels 5th,2010.08.18,1/2-1/2,2700,2674,D85,
Amsterdam NH Hotels 5th,2010.08.18,1/2-1/2,2734,2672,D45,
Amsterdam NH Hotels 5th,2010.08.18,1-0,2677,2697,A20,
Amsterdam NH Hotels 5th,2010.08.19,1-0,2697,2700,E08,
Amsterdam NH Hotels 5th,2010.08.19,1/2-1/2,2672,2739,B94,
Amsterdam NH Hotels 5th,2010.08.19,1-0,2729,2677,B94,
Amsterdam NH Hotels 5th,2010.08.19,1/2-1/2,2674,2734,A30,
