Event,Date,Result,WhiteElo,BlackElo,ECO,TimeControl
Bundesliga 8990,1990.01.01,1/2-1/2,2560,2560,D72,
Bundesliga 8990,1990.01.01,1/2-1/2,2560,2595,E15,
Bundesliga 8990,1990.01.01,1/2-1/2,2605,2600,B08,
Bundesliga 8990,1990.01.01,1/2-1/2,2565,2560,C07,
Bundesliga 8990,1990.01.01,1/2-1/2,2560,2565,B07,
Bundesliga 8990,1990.01.01,1/2-1/2,2585,2565,A30,
Bundesliga 8990,1990.01.01,1/2-1/2,2560,2560,D32,
Belgorod,1990.01.01,1/2-1/2,2545,2545,B30,
CUB-ch,1990.01.01,0-1,2550,2555,A07,
Cheliabinsk-A,1990.01.01,0-1,2555,2585,B33,
FRA-chT,1990.01.01,1-0,2630,2545,D34,
FRA-chT,1990.01.01,1/2-1/2,2645,2660,E13,
FRG Cup,1990.01.01,0-1,2595,2560,E38,
FRG Cup,1990.01.01,0-1,2625,2560,A35,
FRG Cup,1990.01.01,1-0,2625,2615,A18,
Frankfurt,1990.01.01,1/2-1/2,2575,2550,D97,
Groningen op,1990.01.01,1/2-1/2,2560,2590,A28,
HUN-chT 9091,1990.01.01,1-0,2550,2605,B53,
Hitchin,1990.01.01,1/2-1/2,2555,2590,A45,
ISL-ch,1990.01.01,0-1,2540,2550,B36,
Kecskemet op1,1990.01.01,0-1,2600,2540,C06,
Kecskemet op1,1990.01.01,1/2-1/2,2540,2615,E18,
London,1990.01.01,1/2-1/2,2590,2555,C10,
Marchena,1990.01.01,1-0,2570,2565,A36,
Marchena,1990.01.01,1/2-1/2,2565,2565,E18,
Muenster op,1990.01.01,1/2-1/2,2560,2545,C49,
Munich op,1990.01.01,1/2-1/2,2555,2550,D85,
Murcia GMA op,1990.01.01,1-0,2605,2555,B51,
Murcia m,1990.01.01,0-1,2575,2800,E81,
Murcia m,1990.01.01,1/2-1/2,2800,2575,E13,
Murcia m,1990.01.01,1/2-1/2,2575,2800,E89,
Murcia m,1990.01.01,1-0,2800,2575,A46,
Murcia m,1990.01.01,0-1,2575,2800,A26,
Murcia m,1990.01.01,1-0,2800,2575,E42,
New Delhi,1990.01.01,1-0,2610,2650,B42,
New Delhi,1990.01.01,0-1,2600,2540,E90,
New Delhi,1990.01.01,0-1,2540,2650,C92,
Oerebro,1990.01.01,1/2-1/2,2605,2585,E32,
SWE-DEN,1990.01.01,1-0,2570,2630,A37,
Stockholm,1990.01.01,1/2-1/2,2565,2560,C92,
Stockholm,1990.01.01,1/2-1/2,2565,2580,A48,
Stockholm,1990.01.01,1/2-1/2,2580,2560,A57,
Tatran Cup,1990.01.01,1-0,2570,2540,A31,
Tatran Cup,1990.01.01,1-0,2540,2550,D46,
Tatran Cup,1990.01.01,1/2-1/2,2550,2570,C90,
USA Masters,1990.01.01,1/2-1/2,2580,2565,D91,
USA Masters,1990.01.01,0-1,2555,2580,B00,
USA m,1990.01.01,0-1,2565,2625,A32,
USA m,1990.01.01,0-1,2625,2565,B04,
USA m,1990.01.01,1-0,2625,2565,A34,
USA m,1990.01.01,0-1,2595,2560,B00,
USA m,1990.01.01,1/2-1/2,2595,2560,A46,
USA m,1990.01.01,1-0,2595,2560,B00,
USA m,1990.01.01,0-1,2560,2595,B12,
USA m,1990.01.01,1/2-1/2,2560,2595,B15,
Wiesbaden op,1990.01.01,1/2-1/2,2560,2545,E15,
YUG-chT,1990.01.01,1-0,2550,2575,B20,
Bern zt,1990.01.01,1/2-1/2,2560,2545,B13,
Bern zt,1990.01.01,1-0,2545,2565,E38,
Bern zt,1990.01.01,1-0,2560,2565,C41,
Hoogovens,1990.01.01,1/2-1/2,2540,2605,D58,
Hoogovens,1990.01.01,1/2-1/2,2625,2630,D35,
Hoogovens,1990.01.01,1/2-1/2,2600,2555,B37,
Hoogovens,1990.01.01,1-0,2635,2645,B07,
Hoogovens,1990.01.01,0-1,2555,2600,C89,
Hoogovens,1990.01.01,1-0,2630,2550,D12,
Hoogovens,1990.01.01,1/2-1/2,2625,2635,D59,
Hoogovens,1990.01.01,1/2-1/2,2540,2645,D39,
Hoogovens,1990.01.01,1/2-1/2,2600,2605,C73,
Hoogovens,1990.01.01,1-0,2635,2630,B38,
Hoogovens,1990.01.01,1/2-1/2,2550,2555,B51,
Hoogovens,1990.01.01,1-0,2555,2550,C15,
Hoogovens,1990.01.01,1/2-1/2,2630,2555,D27,
Hoogovens,1990.01.01,1/2-1/2,2625,2540,A32,
Hoogovens,1990.01.01,1/2-1/2,2540,2635,A93,
Hoogovens,1990.01.01,1/2-1/2,2600,2645,C11,
Hoogovens,1990.01.01,1/2-1/2,2555,2555,D20,
Hoogovens,1990.01.01,1/2-1/2,2550,2605,C73,
Hoogovens,1990.01.01,1/2-1/2,2630,2555,A35,
Hoogovens,1990.01.01,1-0,2625,2600,E92,
Hoogovens,1990.01.01,1/2-1/2,2605,2555,A29,
Hoogovens,1990.01.01,0-1,2555,2605,E07,
Hoogovens,1990.01.01,1/2-1/2,2540,2630,E11,
Hoogovens,1990.01.01,1-0,2600,2635,B32,
Hoogovens,1990.01.01,0-1,2550,2645,C13,
Hoogovens,1990.01.01,1/2-1/2,2630,2605,D55,
Hoogovens,1990.01.01,1/2-1/2,2645,2555,E46,
Hoogovens,1990.01.01,1/2-1/2,2625,2550,E32,
Hoogovens,1990.01.01,1/2-1/2,2555,2645,C07,
Hoogovens,1990.01.01,0-1,2600,2540,C11,
Hoogovens,1990.01.01,1/2-1/2,2555,2625,E38,
Hoogovens,1990.01.01,1-0,2550,2635,B29,
Hoogovens,1990.01.01,1/2-1/2,2645,2605,D31,
Hoogovens,1990.01.01,1/2-1/2,2625,2555,B38,
Hoogovens,1990.01.01,1/2-1/2,2635,2555,B51,
Hoogovens,1990.01.01,0-1,2555,2635,C15,
Hoogovens,1990.01.01,1/2-1/2,2600,2630,C11,
Hoogovens,1990.01.01,1-0,2605,2625,A29,
Hoogovens,1990.01.01,1/2-1/2,2550,2540,C13,
Hoogovens,1990.01.01,1/2-1/2,2630,2645,A81,
Hoogovens,1990.01.01,1/2-1/2,2540,2555,D12,
Hoogovens,1990.01.01,1/2-1/2,2635,2605,C95,
Hoogovens,1990.01.01,1/2-1/2,2555,2540,C08,
Hoogovens,1990.01.01,1-0,2645,2625,E38,
Hoogovens,1990.01.01,1/2-1/2,2550,2600,D00,
Hoogovens-B,1990.01.01,0-1,2550,2560,B57,
URS-ch U26,1990.01.01,0-1,2550,2550,E97,
Cannes op,1990.01.01,1/2-1/2,2595,2545,A20,
FRA-NED,1990.01.01,1/2-1/2,2560,2680,C84,
FRA-NED,1990.01.01,1/2-1/2,2680,2560,D36,
Graested,1990.01.01,1/2-1/2,2570,2545,A87,
Graested,1990.01.01,0-1,2550,2545,A87,
Graested,1990.01.01,0-1,2550,2570,A37,
Linares 08th,1990.01.01,1-0,2640,2610,D86,
Linares 08th,1990.01.01,1/2-1/2,2615,2800,E99,
Linares 08th,1990.01.01,1-0,2605,2625,A34,
Linares 08th,1990.01.01,1/2-1/2,2635,2665,B52,
Linares 08th,1990.01.01,0-1,2560,2615,C84,
Linares 08th,1990.01.01,1/2-1/2,2610,2615,E20,
Linares 08th,1990.01.01,1-0,2665,2605,C92,
Linares 08th,1990.01.01,1-0,2800,2635,A26,
Linares 08th,1990.01.01,1/2-1/2,2625,2560,C92,
Linares 08th,1990.01.01,0-1,2645,2615,D03,
Linares 08th,1990.01.01,1-0,2615,2640,D37,
Linares 08th,1990.01.01,1-0,2615,2625,E15,
Linares 08th,1990.01.01,0-1,2605,2800,E97,
Linares 08th,1990.01.01,0-1,2635,2645,C54,
Linares 08th,1990.01.01,1/2-1/2,2560,2665,A59,
Linares 08th,1990.01.01,0-1,2640,2635,E49,
Linares 08th,1990.01.01,1-0,2610,2625,E04,
Linares 08th,1990.01.01,1/2-1/2,2665,2615,C82,
Linares 08th,1990.01.01,1-0,2800,2560,E35,
Linares 08th,1990.01.01,1-0,2645,2605,D31,
Linares 08th,1990.01.01,1-0,2615,2610,D26,
Linares 08th,1990.01.01,0-1,2615,2800,E69,
Linares 08th,1990.01.01,0-1,2625,2665,B10,
Linares 08th,1990.01.01,0-1,2605,2640,D58,
Linares 08th,1990.01.01,1/2-1/2,2560,2645,E12,
Linares 08th,1990.01.01,1-0,2640,2560,E20,
Linares 08th,1990.01.01,0-1,2615,2635,E20,
Linares 08th,1990.01.01,1/2-1/2,2610,2665,E05,
Linares 08th,1990.01.01,1/2-1/2,2800,2625,E20,
Linares 08th,1990.01.01,1-0,2645,2615,A13,
Linares 08th,1990.01.01,0-1,2665,2800,B97,
Linares 08th,1990.01.01,1/2-1/2,2615,2640,D37,
Linares 08th,1990.01.01,1/2-1/2,2625,2645,C67,
Linares 08th,1990.01.01,1/2-1/2,2605,2615,E81,
Linares 08th,1990.01.01,1-0,2635,2610,C65,
Linares 08th,1990.01.01,1/2-1/2,2640,2625,E27,
Linares 08th,1990.01.01,1-0,2615,2560,E20,
Linares 08th,1990.01.01,1-0,2610,2800,E88,
Linares 08th,1990.01.01,1/2-1/2,2645,2665,D29,
Linares 08th,1990.01.01,0-1,2635,2605,C75,
Linares 08th,1990.01.01,1-0,2665,2640,C95,
Linares 08th,1990.01.01,1-0,2615,2615,A39,
Linares 08th,1990.01.01,1/2-1/2,2800,2645,E20,
Linares 08th,1990.01.01,0-1,2605,2610,A48,
Linares 08th,1990.01.01,1/2-1/2,2560,2635,C84,
Linares 08th,1990.01.01,1/2-1/2,2640,2800,E84,
Linares 08th,1990.01.01,1-0,2615,2625,E32,
Linares 08th,1990.01.01,1/2-1/2,2610,2645,D39,
Linares 08th,1990.01.01,1/2-1/2,2605,2560,D55,
Linares 08th,1990.01.01,1/2-1/2,2635,2615,C82,
Linares 08th,1990.01.01,1/2-1/2,2665,2615,E15,
Linares 08th,1990.01.01,1/2-1/2,2615,2605,E12,
Linares 08th,1990.01.01,1/2-1/2,2625,2635,C09,
Linares 08th,1990.01.01,1/2-1/2,2645,2640,B52,
Linares 08th,1990.01.01,1/2-1/2,2560,2610,B30,
Lvov zt,1990.01.01,1-0,2550,2570,A13,
Lvov zt,1990.01.01,0-1,2550,2575,A64,
Lvov zt,1990.01.01,1/2-1/2,2545,2590,C14,
Lvov zt,1990.01.01,0-1,2545,2605,D47,
Lvov zt,1990.01.01,1-0,2610,2545,A29,
Lvov zt,1990.01.01,1-0,2610,2540,A31,
Lvov zt,1990.01.01,1-0,2610,2560,A30,
Lvov zt,1990.01.01,1-0,2590,2610,B09,
Lvov zt,1990.01.01,1/2-1/2,2590,2545,D97,
Lvov zt,1990.01.01,1/2-1/2,2590,2550,D47,
Lvov zt,1990.01.01,1/2-1/2,2600,2545,E15,
Lvov zt,1990.01.01,1/2-1/2,2540,2605,D11,
Lvov zt,1990.01.01,0-1,2540,2560,E13,
Lvov zt,1990.01.01,1/2-1/2,2605,2560,E05,
Lvov zt,1990.01.01,0-1,2570,2545,E15,
Lvov zt,1990.01.01,1-0,2570,2570,D14,
Lvov zt,1990.01.01,1/2-1/2,2560,2590,A90,
Lvov zt,1990.01.01,1/2-1/2,2560,2605,D48,
Lvov zt,1990.01.01,1/2-1/2,2560,2560,E32,
Lvov zt,1990.01.01,0-1,2560,2575,E38,
Lvov zt,1990.01.01,1/2-1/2,2545,2610,A42,
Lvov zt,1990.01.01,0-1,2545,2560,D18,
Lvov zt,1990.01.01,1-0,2545,2550,D45,
Lvov zt,1990.01.01,1/2-1/2,2550,2550,E87,
Lvov zt,1990.01.01,0-1,2550,2605,D43,
Lvov zt,1990.01.01,0-1,2550,2560,D17,
Lvov zt,1990.01.01,1-0,2550,2570,E15,
Lvov zt,1990.01.01,1/2-1/2,2570,2560,E18,
Lvov zt,1990.01.01,1/2-1/2,2570,2600,E11,
Lvov zt,1990.01.01,1/2-1/2,2570,2540,E05,
Lvov zt,1990.01.01,1-0,2560,2550,E87,
Lvov zt,1990.01.01,1-0,2560,2590,E15,
Lvov zt,1990.01.01,1/2-1/2,2560,2560,E18,
Lvov zt,1990.01.01,1/2-1/2,2575,2605,C55,
