Event,Date,Result,WhiteElo,BlackElo,ECO,TimeControl
Croatia GCT,2019.06.26,0-1,2767,2775,C55,
Croatia GCT,2019.06.26,1-0,2819,2754,D37,
Croatia GCT,2019.06.26,0-1,2779,2875,B30,
Croatia GCT,2019.06.26,1/2-1/2,2774,2748,E20,
Croatia GCT,2019.06.26,1-0,2754,2805,A23,
Croatia GCT,2019.06.26,1/2-1/2,2779,2752,C67,
Croatia GCT,2019.06.27,1/2-1/2,2752,2779,E05,
Croatia GCT,2019.06.27,1/2-1/2,2875,2767,D39,
Croatia GCT,2019.06.27,1/2-1/2,2805,2748,E11,
Croatia GCT,2019.06.27,1/2-1/2,2754,2774,D85,
Croatia GCT,2019.06.27,1-0,2775,2819,B33,
Croatia GCT,2019.06.27,1/2-1/2,2754,2779,A30,
Croatia GCT,2019.06.28,1/2-1/2,2767,2752,C54,
Croatia GCT,2019.06.28,1/2-1/2,2819,2875,C84,
Croatia GCT,2019.06.28,1/2-1/2,2779,2754,C54,
Croatia GCT,2019.06.28,1/2-1/2,2748,2754,D37,
Croatia GCT,2019.06.28,0-1,2774,2775,E61,
Croatia GCT,2019.06.28,1/2-1/2,2779,2805,C54,
Croatia GCT,2019.06.29,1/2-1/2,2752,2819,D04,
Croatia GCT,2019.06.29,1/2-1/2,2875,2774,A16,
Croatia GCT,2019.06.29,1/2-1/2,2805,2754,D27,
Croatia GCT,2019.06.29,1/2-1/2,2775,2748,C54,
Croatia GCT,2019.06.29,1/2-1/2,2754,2767,A20,
Croatia GCT,2019.06.29,1/2-1/2,2779,2779,C83,
Croatia GCT,2019.06.30,1/2-1/2,2767,2779,B52,
Croatia GCT,2019.06.30,1/2-1/2,2819,2754,C54,
Croatia GCT,2019.06.30,0-1,2779,2805,D45,
Croatia GCT,2019.06.30,1/2-1/2,2748,2875,D31,
Croatia GCT,2019.06.30,1/2-1/2,2774,2752,D39,
Croatia GCT,2019.06.30,1/2-1/2,2754,2775,D85,
Croatia GCT,2019.07.01,1-0,2752,2748,C67,
Croatia GCT,2019.07.01,1-0,2875,2754,D37,
Croatia GCT,2019.07.01,1-0,2805,2775,A20,
Croatia GCT,2019.07.01,1/2-1/2,2779,2767,C81,
Croatia GCT,2019.07.01,1-0,2754,2774,A16,
Croatia GCT,2019.07.01,0-1,2779,2819,C78,
Croatia GCT,2019.07.03,1/2-1/2,2767,2805,C88,
Croatia GCT,2019.07.03,1/2-1/2,2819,2779,D78,
Croatia GCT,2019.07.03,1/2-1/2,2748,2754,C67,
Croatia GCT,2019.07.03,1/2-1/2,2774,2779,E60,
Croatia GCT,2019.07.03,1/2-1/2,2754,2752,C65,
Croatia GCT,2019.07.03,0-1,2775,2875,B30,
Croatia GCT,2019.07.04,1/2-1/2,2767,2819,B52,
Croatia GCT,2019.07.04,1/2-1/2,2752,2775,D91,
Croatia GCT,2019.07.04,0-1,2805,2875,E05,
Croatia GCT,2019.07.04,1-0,2779,2774,B51,
Croatia GCT,2019.07.04,1-0,2754,2754,C67,
Croatia GCT,2019.07.04,1/2-1/2,2779,2748,C67,
Croatia GCT,2019.07.05,1/2-1/2,2875,2752,D39,
Croatia GCT,2019.07.05,1/2-1/2,2819,2805,C90,
Croatia GCT,2019.07.05,1/2-1/2,2748,2779,D37,
Croatia GCT,2019.07.05,1-0,2774,2767,D24,
Croatia GCT,2019.07.05,1/2-1/2,2754,2779,B51,
Croatia GCT,2019.07.05,1/2-1/2,2775,2754,C65,
Croatia GCT,2019.07.06,1/2-1/2,2767,2748,C67,
Croatia GCT,2019.07.06,1/2-1/2,2819,2774,B01,
Croatia GCT,2019.07.06,1/2-1/2,2805,2752,A14,
Croatia GCT,2019.07.06,1/2-1/2,2779,2754,C67,
Croatia GCT,2019.07.06,1/2-1/2,2754,2875,E34,
Croatia GCT,2019.07.06,1/2-1/2,2779,2775,B11,
Croatia GCT,2019.07.07,1/2-1/2,2752,2754,C54,
Croatia GCT,2019.07.07,1-0,2875,2779,D85,
Croatia GCT,2019.07.07,1/2-1/2,2748,2819,A61,
Croatia GCT,2019.07.07,1/2-1/2,2774,2805,D41,
Croatia GCT,2019.07.07,1/2-1/2,2754,2767,E35,
Croatia GCT,2019.07.07,0-1,2775,2779,B51,
Danzhou 10th,2019.06.30,0-1,2707,2693,A08,
Danzhou 10th,2019.06.30,1/2-1/2,2735,2761,D43,
